chr pos1 pos2 r2_wht r2_cmn r2_cbr n_snps_wht pi_wht tajd_wht n_snps_cmn pi_cmn tajd_cmn n_snps_cbr pi_cbr tajd_cbr fst_wht_cbr fst_wht_cmn fst_cbr_cmn
chrI 3075001 3150000 0.0677055047739853 0.0849379510038152 0.0804955040934374 64 6.48271e-05 -1.33937 67 6.25005e-05 -1.40729 47 6.90486e-05 -0.926993 0.0337931 0.00447141 0.0154851
chrI 3150001 3225000 0.0672697088133101 0.0793092680954937 0.0564264118658746 57 0.000103035 -0.026506 70 0.000105119 -0.433798 45 0.000110554 0.449135 0.0304181 0.00336458 0.0282377
chrI 3225001 3300000 0.0591531083333333 0.0243204369047619 0.109435390714286 18 1.96317e-05 -1.01276 19 2.26822e-05 -0.911675 14 2.12596e-05 -0.698381 0.000528739 0.0122605 0.00250316
chrI 3300001 3375000 0.0630182154408369 0.0723882407587783 0.045684895348455 33 1.63011e-05 -1.85596 31 1.9351e-05 -1.57972 25 1.8937e-05 -1.55804 0.0010069 0.000199362 0.00144007
chrI 3375001 3450000 0.185534874796296 0.167428135839438 0.145231961031746 29 2.67147e-05 -0.900904 35 3.0557e-05 -1.03107 26 3.22554e-05 -0.77571 -0.00289228 0.00302019 0.0127991
chrI 3450001 3525000 0.0671839205627706 0.0782179915909091 0.106747929102564 32 1.33985e-05 -2.14507 22 1.82488e-05 -1.45007 23 1.93273e-05 -1.65651 0.05729 0.110773 0.00494923
chrI 3525001 3600000 0.087305995 0.0576264590952381 0.0657116821726191 24 1.79237e-05 -1.55113 26 1.87327e-05 -1.52881 21 2.1327e-05 -1.48395 0.00840102 0.01419 -0.001779
chrI 3600001 3675000 0.0909397236044338 0.0818137408570489 0.0766660217165969 21 4.37177e-05 0.671153 22 4.56221e-05 0.581858 18 5.2194e-05 1.29832 0.00735044 0.00114365 -3.67705e-05
chrI 3675001 3750000 0.0908450065673864 0.0969194782167456 0.0768826189207663 64 6.44694e-05 -1.13118 63 6.11672e-05 -1.12632 47 7.02702e-05 -0.664243 0.0110563 0.0069956 0.0146769
chrI 3750001 3825000 0.0964244535711279 0.07570353875 0.0462640397486773 23 2.96361e-05 -0.975506 19 2.74155e-05 -0.638846 14 3.53834e-05 0.456109 0.0374967 0.0180378 0.0187438
chrI 3825001 3900000 0.0901157979844642 0.0654044259137622 0.0749702792135465 23 3.11917e-05 -0.331722 22 3.21062e-05 -0.200712 14 3.9792e-05 0.773638 0.000889803 0.00557937 0.0071669
chrI 3900001 3975000 0.0959653278246753 0.136068038533538 0.167664831710775 42 3.63314e-05 -1.26706 40 4.05926e-05 -0.933228 35 4.64438e-05 -1.00335 -0.000493938 0.00121281 -0.00257781
chrI 3975001 4050000 0.100147950412239 0.0503394186489899 0.0717938376964085 33 1.76805e-05 -1.913 30 2.43884e-05 -1.4244 21 1.61326e-05 -1.38765 -0.00514127 0.00841194 0.00617119
chrI 4050001 4125000 0.0873248767034632 0.0923624730663781 0.122011602968975 23 2.88019e-05 -0.541655 30 3.43822e-05 -0.807872 21 3.35875e-05 -0.409644 0.00911094 0.00971419 -0.0017217
chrI 4125001 4200000 0.0841028533829365 0.116682099058442 0.105201826041667 39 1.65208e-05 -2.00791 31 1.57925e-05 -1.83432 28 1.99024e-05 -1.72179 0.0110841 0.0102761 0.0098262
chrI 4200001 4275000 0.052328525080271 0.0838156119476178 0.072785739163948 42 4.02663e-05 -1.30405 48 3.75156e-05 -1.59024 27 4.20805e-05 -0.724341 -0.000978521 0.00997589 0.000825554
chrI 4275001 4350000 0.0621983057061084 0.0545129864399574 0.0759192459960754 44 7.97447e-05 0.125458 43 6.54442e-05 -0.245466 38 7.34707e-05 0.177959 0.00488038 0.0117905 0.00535881
chrI 4350001 4425000 0.0817866964181704 0.0826265457494347 0.0567782465477708 82 0.000104342 -1.06779 68 9.83104e-05 -0.691904 47 0.000102577 -0.0205241 0.00837909 0.00220974 0.0145233
chrI 4425001 4500000 0.0778929519813105 0.0709733446643958 0.069976366870764 72 6.84426e-05 -1.0151 78 6.76329e-05 -1.07489 54 7.91569e-05 -0.529691 0.0139963 0.00589692 0.00284072
chrI 4500001 4575000 0.115842216429422 0.112441648016787 0.0829498869802981 43 2.32315e-05 -1.73467 47 2.02547e-05 -1.90014 29 2.59321e-05 -1.52455 -0.00441389 0.0134556 0.0040132
chrI 4575001 4650000 0.0893343151225745 0.0873262167274115 0.081020324818641 57 6.09719e-05 -1.31725 65 5.60557e-05 -1.55093 41 5.61402e-05 -1.09861 0.00980216 -0.000767693 0.0109244
chrI 4650001 4725000 0.0445339934653348 0.0495657766914682 0.0609365346506734 27 2.27027e-05 -1.25701 29 2.25338e-05 -1.46152 16 2.62664e-05 -0.625569 0.00290498 -0.000755065 -0.00361233
chrI 4725001 4800000 0.0896958567290879 0.0766385460246497 0.0931401978777393 68 8.93941e-05 -0.683895 59 8.42248e-05 -0.430784 42 8.92477e-05 0.129205 0.0374082 0.0190802 0.0129629
chrI 4875001 4950000 0.0450478489353291 0.0488484035409035 0.0424151859165897 24 3.44962e-05 0.140889 22 3.43151e-05 0.348609 24 3.77064e-05 -0.0158402 0.0200726 0.00341361 0.00624702
chrI 4950001 5025000 0.0667312830628019 0.0795026703854969 0.0738254079115834 31 4.2287e-05 -0.498255 24 4.66101e-05 0.384419 24 5.36338e-05 0.244168 0.00115501 -0.00447741 0.0012125
chrI 5025001 5100000 0.114793762380952 0.10853551368254 0.0756613212217412 31 3.54831e-05 -0.85917 24 3.24953e-05 -0.342277 23 3.55894e-05 -0.111827 6.1453e-05 -0.00849698 -0.000940273
chrI 5175001 5250000 0.146229847057289 0.089773430090388 0.140919041082191 37 2.19039e-05 -1.85193 38 2.36555e-05 -1.74342 31 2.82401e-05 -1.48132 0.0643769 0.010725 0.0322937
chrI 5250001 5325000 0.142026055227273 0.0309707033333333 0.04325383 38 2.22426e-05 -1.9319 41 1.99429e-05 -2.09525 25 2.7311e-05 -1.35103 0.0118171 0.00273192 0.0361233
chrI 5325001 5400000 0.02550088 0.0126663166666667 0.01480634 12 5.53901e-06 -1.80328 16 4.57671e-06 -1.98287 7 5.37645e-06 -1.33805 -0.0031138 -0.00418018 -0.00378977
chrI 5400001 5475000 0.103627643571429 0.058686615 0.0944809997222222 32 1.36449e-05 -2.2329 31 1.24996e-05 -2.18171 21 1.17436e-05 -2.03156 0.00996576 -0.00448019 0.0136703
chrI 5475001 5550000 0.0984667760493376 0.151392748136921 0.0696737307823614 50 4.7052e-05 -1.43432 57 3.7456e-05 -1.83258 27 3.96094e-05 -0.809712 0.0277767 0.0222989 0.000618569
chrI 5550001 5625000 0.0780259435185185 0.0962488152976191 0.188883262916667 36 2.23237e-05 -2.00457 22 2.96955e-05 -0.939535 18 2.14792e-05 -1.25584 -0.00138031 0.0234989 0.0133898
chrI 5625001 5700000 0.03175836 NA NA 8 6.22979e-06 -1.32079 5 6.16827e-06 -0.682718 5 6.42394e-06 -0.851206 -0.00679148 0.0200451 0.0233723
chrI 5700001 5775000 0.0867334746212121 0.0880526206292517 0.0902799696607532 22 2.37825e-05 -0.762219 23 2.21865e-05 -0.848121 19 3.2062e-05 -0.52464 -0.00209457 0.00323479 -0.000131556
chrI 5775001 5850000 0.120028039421769 0.0745884503571429 0.0526607708333333 15 1.86649e-05 -0.752388 19 1.83545e-05 -1.12031 17 1.56031e-05 -1.40978 0.0326091 0.00337047 0.0142197
chrI 5850001 5925000 0.119894220447646 0.104670541946734 0.058712856780754 40 3.17648e-05 -1.39554 37 3.08287e-05 -1.31829 25 3.88922e-05 -0.635123 0.00890166 0.00547255 0.0305002
chrI 5925001 6e+06 0.12158234802737 0.0751388060888098 0.0799876317423996 46 3.5792e-05 -1.38721 42 4.07417e-05 -1.0608 38 4.01125e-05 -1.15438 -0.00246886 0.00094768 0.00344272
chrI 6000001 6075000 0.0751686756868373 0.0886920935140824 0.0728266922342142 57 6.16104e-05 -1.22764 43 5.58823e-05 -0.883122 35 6.62909e-05 -0.386045 0.0260285 0.00706937 0.0412391
chrI 6075001 6150000 0.0670784548547852 0.0636376123288293 0.054501687894077 23 2.06844e-05 -1.09437 25 2.10469e-05 -1.2464 16 2.61939e-05 -0.551933 0.0259956 -0.00126968 0.0229959
chrI 6150001 6225000 0.0969803699325861 0.0869597784308727 0.0832360270843482 82 6.44711e-05 -1.57059 84 5.78318e-05 -1.63185 57 6.2479e-05 -1.24003 0.0244558 0.00538218 0.0211155
chrI 6225001 6300000 0.13459100446671 0.0909889397887807 0.0978967004978355 34 2.74994e-05 -1.66026 33 2.79124e-05 -1.48422 22 3.02692e-05 -0.997715 0.0219355 -0.00195466 0.0201625
chrI 6300001 6375000 0.212933114830104 0.0462905169143357 0.168191648452381 48 1.5652e-05 -2.33935 41 1.35866e-05 -2.21403 21 1.40362e-05 -1.76824 -0.000362051 -0.00160868 0.0106134
chrI 6375001 6450000 0.0867343809524764 0.073200368645166 0.104117926064009 61 4.51613e-05 -1.64125 52 4.38731e-05 -1.41426 38 4.54628e-05 -1.15286 0.0127186 0.012581 -0.00254828
chrI 6450001 6525000 0.139034116062057 0.124797995480952 0.124588524266571 50 4.45212e-05 -1.53613 50 3.59135e-05 -1.752 40 3.86416e-05 -1.58346 0.0219226 0.0166525 0.0251749
chrI 6525001 6600000 0.114536982942306 0.0633350510511184 0.0896505980257544 63 5.07509e-05 -1.71632 65 5.27188e-05 -1.67794 37 5.25862e-05 -0.998945 0.0375576 0.0157519 0.00921076
chrI 6600001 6675000 0.0837139391107824 0.0868146278898482 0.118307767032051 32 2.01714e-05 -1.90347 39 1.66507e-05 -2.18618 24 1.81186e-05 -1.81793 0.0116942 0.014186 0.00959795
chrI 6675001 6750000 0.20548409056655 0.117507834348213 0.126162325066062 38 3.27436e-05 -1.27221 38 3.09736e-05 -1.35618 31 3.32417e-05 -1.27312 0.0200767 0.00165085 0.00794922
chrI 6750001 6825000 0.0851791489795918 0.0565626396666667 0.0835719158333333 22 2.33208e-05 -0.927763 25 2.45129e-05 -0.947913 21 3.00209e-05 -0.716178 0.01227 0.00485574 -0.00252288
chrI 6825001 6900000 0.0964483774511157 0.136952459329004 0.0773818595656566 30 2.08981e-05 -1.79293 34 1.76576e-05 -2.0208 20 1.73106e-05 -1.61833 0.00460083 0.0197021 0.00240351
chrI 6900001 6975000 0.104133377128508 0.0788633188766182 0.0647510739371858 51 4.3808e-05 -1.46026 55 5.55875e-05 -1.19016 35 5.84429e-05 -0.538189 0.0390748 0.0696447 0.00441279
chrI 6975001 7050000 0.0910193222222222 0.0810136226190476 0.120248604801587 27 2.288e-05 -1.34313 26 2.06513e-05 -1.39463 23 2.19879e-05 -1.41406 0.0472848 0.0503397 -0.00332887
chrI 7050001 7125000 0.0272821285714286 0.112648295142857 0.0800914133333333 21 1.0742e-05 -1.99113 19 1.13458e-05 -1.79836 15 1.19196e-05 -1.64949 0.0547203 0.030526 0.0111457
chrI 7125001 7200000 0.0585022007575758 0.167549492818182 0.0735999393333333 29 1.81203e-05 -1.81095 31 1.89468e-05 -1.80867 16 2.41008e-05 -0.797262 0.0210142 0.0254434 0.0161766
chrI 7200001 7275000 0.0776231278571429 0.0291015975 0.102724364421314 13 8.97267e-06 -1.11369 18 1.12876e-05 -1.38037 14 1.306e-05 -1.16931 0.0530317 0.0259003 -0.00164386
chrI 7275001 7350000 0.111434036566365 0.103273768758687 0.0730770532566739 58 4.98951e-05 -1.56721 60 4.73745e-05 -1.60944 33 4.56563e-05 -1.03972 0.0481179 0.0293278 0.0283255
chrI 7350001 7425000 0.0823328789121573 0.0400362509632035 0.086224628641283 45 3.42034e-05 -1.74021 28 3.16656e-05 -1.04029 29 3.55108e-05 -1.17986 -0.00357392 0.004427 0.0139509
chrI 7425001 7500000 0.0965393574927644 0.0874766689087347 0.112281642967737 37 4.5084e-05 -0.75813 45 5.7806e-05 -0.719994 29 5.38841e-05 -0.270173 -0.00248659 0.0145322 0.0103197
chrI 7500001 7575000 0.0726260351262626 0.101965412285714 0.203984091455026 32 1.59096e-05 -1.99294 45 2.2392e-05 -2.06473 36 2.32094e-05 -1.98228 0.00820224 0.0152934 -0.000109669
chrI 7575001 7650000 0.131783625729028 0.09710203 0.0809004665449311 34 1.8673e-05 -1.93491 25 1.89709e-05 -1.54651 18 2.05685e-05 -1.26336 0.00901582 0.0153653 -0.00300886
chrI 7650001 7725000 0.109653531820587 0.0670320991746032 0.0607576493055556 35 3.49679e-05 -1.09335 35 3.4925e-05 -1.07141 35 4.32992e-05 -1.22518 0.049965 0.0482726 0.000221168
chrI 7725001 7800000 0.0844893118197279 0.108341473844565 0.118408232376984 33 2.31516e-05 -1.7367 38 2.21458e-05 -1.92586 18 2.18146e-05 -1.23087 0.0306639 0.0481989 -0.000773631
chrI 7800001 7875000 0.115810013888889 0.0836019966666667 0.08434633875 29 2.53673e-05 -1.60029 31 1.9268e-05 -1.88749 16 2.21634e-05 -1.00895 0.0156167 0.0337896 0.00049627
chrI 7875001 7950000 0.0563388778552386 0.0547910940082623 0.0582681100246058 26 2.43613e-05 -1.01674 23 2.48863e-05 -0.731768 15 2.62617e-05 -0.00673955 0.00104106 0.0116246 0.00533031
chrI 7950001 8025000 0.0931554211007704 0.10872419196135 0.086090017340039 106 0.000161599 -0.311751 103 0.000162717 -0.258368 73 0.00017757 0.503287 0.00260319 0.0073463 0.0117419
chrI 8025001 8100000 0.0757372953180306 0.131567232615309 0.13589817292004 62 2.2105e-05 -2.29974 53 2.46682e-05 -2.01035 32 2.18965e-05 -1.83979 0.00505499 0.00741247 0.0158531
chrI 8100001 8175000 0.0784949142857143 NA NA 15 3.09385e-06 -2.16483 11 2.07551e-06 -2.02533 14 3.00153e-06 -2.25669 0.00385669 0.00135712 -0.00817836
chrI 8175001 8250000 0.35415075 NA 0.03355546 36 8.75179e-06 -2.44944 17 5.57624e-06 -2.07543 16 7.53226e-06 -2.02112 0.012007 0.0296737 -0.00254508
chrI 8250001 8325000 0.182150881609054 0.0865980016510342 0.0721041917275471 58 4.18335e-05 -1.65819 49 3.71597e-05 -1.48409 41 3.775e-05 -1.29066 0.00187321 0.00642993 0.0181038
chrI 8325001 8400000 0.1238951575 0.0420393651785714 0.175931209666667 20 1.38654e-05 -1.737 16 1.50002e-05 -1.34628 14 1.49344e-05 -1.27592 0.00489698 -0.00273073 -0.00191713
chrI 8400001 8475000 0.0712530149199856 0.0647160973191095 0.0974155897043235 42 4.5745e-05 -1.06769 47 4.25259e-05 -1.33129 41 4.28875e-05 -1.45205 0.047335 0.00851578 0.0101069
chrI 8475001 8550000 0.127830638928571 0.023846763343254 0.0687475660079365 35 1.59316e-05 -1.99644 26 1.6425e-05 -1.63419 18 1.98547e-05 -1.30211 -7.17299e-05 -0.00152901 0.00237325
chrI 8550001 8625000 0.0694881797222222 0.0603726701890332 0.0606121966666667 37 1.9255e-05 -1.87816 46 2.33787e-05 -1.98241 19 2.36604e-05 -0.946512 0.00184269 -0.000651583 0.00910084
chrI 8625001 8700000 0.133762233086884 0.0806241574850993 0.0995389687761595 32 2.09701e-05 -1.58729 30 2.4812e-05 -1.21742 21 2.56257e-05 -0.64449 0.0456452 0.0458364 0.0173966
chrI 8700001 8775000 0.174863720530303 0.197866008333333 0.118666435571429 26 2.10902e-05 -1.52972 23 1.8987e-05 -1.45814 20 2.44954e-05 -1.19058 0.0878673 0.10721 0.00926618
chrI 8775001 8850000 0.140648728593585 0.0659640656499056 0.0515379923412698 54 2.76157e-05 -1.95398 44 2.61018e-05 -1.74777 36 3.57656e-05 -1.41644 0.00700282 0.00264533 0.00752762
chrI 8850001 8925000 0.149682962284314 0.115222681060606 0.102037297692308 36 1.94988e-05 -1.91457 35 2.1342e-05 -1.79895 21 2.50675e-05 -1.15918 0.0111078 0.0169194 0.0357644
chrI 8925001 9e+06 0.15008879974359 0.0785468813492063 0.128630283809524 56 1.45048e-05 -2.54921 41 1.53432e-05 -2.23145 23 2.23828e-05 -1.47401 0.0531016 0.0817276 0.0779968
chrI 9075001 9150000 0.513295591666667 0.238520702619048 0.01749736 38 1.47353e-05 -2.16352 38 1.33376e-05 -2.21913 28 1.75456e-05 -1.88568 0.0616648 0.0962736 0.0100006
chrI 9300001 9375000 0.20340264040404 0.0507368669708995 0.0743515180272109 27 2.30849e-05 -1.38734 19 2.42788e-05 -0.705224 15 2.30921e-05 -0.701717 0.0541357 0.03377 0.0375143
chrI 9375001 9450000 0.0808310300655793 0.0858119511676287 0.0522007468645748 42 3.81547e-05 -1.41589 43 4.10584e-05 -1.33639 31 4.04958e-05 -1.14599 0.0317284 0.00713209 0.018545
chrI 9450001 9525000 0.05855894 NA 0.0636493391666667 11 2.46886e-06 -2.00932 12 2.36315e-06 -2.06097 5 2.19219e-06 -1.44915 NA NA NA
chrI 9525001 9600000 0.0498189221611722 0.110666374160562 0.204049163193277 31 1.59987e-05 -1.74079 35 1.78232e-05 -1.79514 25 2.56648e-05 -1.33939 0.0437272 0.0100801 0.0134227
chrI 9600001 9675000 0.0540852266666667 0.0396198494444444 0.0488102025 25 1.939e-05 -1.61984 23 1.86915e-05 -1.57866 17 2.18372e-05 -1.11101 0.0182696 0.00142829 0.00499793
chrI 9675001 9750000 0.0317510938888889 0.0357948166666667 0.0404078170634921 29 2.296e-05 -1.62108 29 2.42297e-05 -1.45055 15 2.40707e-05 -0.361407 0.0436975 -0.00219699 0.0386729
chrI 9750001 9825000 0.04371115 0.04912736 NA 23 8.13472e-06 -2.19456 22 8.73123e-06 -2.08767 20 1.12521e-05 -2.01517 -0.0060131 0.0176087 0.0236525
chrI 9825001 9900000 0.0157599333333333 0.0242056390909091 NA 16 6.59528e-06 -1.96231 24 8.97071e-06 -2.08189 14 6.74957e-06 -1.91379 0.0122308 0.00150522 0.00279813
chrI 9900001 9975000 0.103838573541667 0.113725183333333 0.0709386209259259 21 9.02744e-06 -1.82438 21 8.34383e-06 -1.78676 13 1.13888e-05 -1.12188 0.0981152 0.104717 0.00346748
chrI 9975001 10050000 0.184293528778936 0.11756941358396 0.0845146008792815 60 5.12657e-05 -1.53076 45 4.73824e-05 -1.10514 34 5.62469e-05 -0.677739 0.00617331 0.00827591 0.00067322
chrI 10050001 10125000 0.0256445416666667 0.0325937791666667 0.0294050569444444 17 2.24251e-05 -0.628833 18 2.0455e-05 -0.795814 11 1.87052e-05 -0.0541789 0.00831276 0.032618 -0.0013916
chrI 10125001 10200000 0.1360947 0.0336942125 0.02868725 20 7.42933e-06 -2.12478 24 6.57456e-06 -2.27225 13 9.04487e-06 -1.67636 -0.00518179 -0.0036981 0.0053594
chrI 10200001 10275000 0.05984378 0.047317787962963 0.0721761875 20 1.18408e-05 -1.74153 22 1.14536e-05 -1.83511 10 1.10094e-05 -1.00089 -0.0058083 -0.00803892 -0.003841
chrI 10275001 10350000 0.312498358333333 0.08825714375 0.02066892 43 9.12908e-06 -2.55584 34 1.02595e-05 -2.33754 25 8.77625e-06 -2.34006 0.0414097 0.021926 -0.00317635
chrI 10425001 10500000 0.0257545097222222 NA 0.331614891666667 12 6.57673e-06 -1.73003 11 1.87108e-06 -2.05238 10 6.4263e-06 -1.60494 0.037022 0.0379822 -0.00657926
chrI 10500001 10575000 0.0665277807407407 0.0597666833333333 0.0526109770833333 27 1.75956e-05 -1.68973 19 1.58433e-05 -1.2367 18 1.69549e-05 -1.41611 0.0535198 0.0326039 0.0585719
