chr pos1 pos2 transcript gene_pos1 gene_pos2 fst_outlier_adj gene
1 375001 449999 ENSGACT00000006186 384897 395878 FALSE ENSGACG00000004656
1 375001 449999 ENSGACT00000006203 399228 409825 FALSE ENSGACG00000004682
1 375001 449999 ENSGACT00000006220 422752 424954 FALSE ENSGACG00000004699
1 375001 449999 ENSGACT00000006229 427703 435209 FALSE ENSGACG00000004711
1 375001 449999 ENSGACT00000006243 436490 448294 FALSE ENSGACG00000004718
1 375001 449999 ENSGACT00000006247 449187 449973 FALSE ENSGACG00000004728
1 600001 674999 ENSGACT00000006501 620253 626394 FALSE ENSGACG00000004907
1 600001 674999 ENSGACT00000006509 628832 630104 FALSE ENSGACG00000004916
1 600001 674999 ENSGACT00000006512 638917 644877 FALSE ENSGACG00000004919
1 675001 749999 ENSGACT00000006519 696149 703429 FALSE ENSGACG00000004922
1 675001 749999 ENSGACT00000006521 706654 708059 FALSE ENSGACG00000004927
1 675001 749999 ENSGACT00000006528 725635 725859 FALSE ENSGACG00000004929
1 675001 749999 ENSGACT00000006553 726932 740059 FALSE ENSGACG00000004934
1 675001 749999 ENSGACT00000006563 726932 740276 FALSE ENSGACG00000004934
1 675001 749999 ENSGACT00000006567 746199 747195 FALSE ENSGACG00000004963
1 750001 824999 ENSGACT00000006609 785833 786012 FALSE ENSGACG00000004992
1 750001 824999 ENSGACT00000006619 790618 796261 FALSE ENSGACG00000004996
1 750001 824999 ENSGACT00000006646 798707 805841 FALSE ENSGACG00000005004
1 750001 824999 ENSGACT00000006659 807405 813257 FALSE ENSGACG00000005026
1 750001 824999 ENSGACT00000006669 814526 818691 FALSE ENSGACG00000005038
1 825001 899999 ENSGACT00000006676 825335 835930 FALSE ENSGACG00000005047
1 825001 899999 ENSGACT00000006693 845685 849887 FALSE ENSGACG00000005051
1 825001 899999 ENSGACT00000006700 847507 851086 FALSE ENSGACG00000005051
1 825001 899999 ENSGACT00000006718 853151 864471 FALSE ENSGACG00000005067
1 825001 899999 ENSGACT00000006749 871940 888334 FALSE ENSGACG00000005083
1 825001 899999 ENSGACT00000006766 871978 888344 FALSE ENSGACG00000005083
1 900001 974999 ENSGACT00000006808 903985 905957 FALSE ENSGACG00000005145
1 900001 974999 ENSGACT00000006826 906629 913276 FALSE ENSGACG00000005148
1 900001 974999 ENSGACT00000006842 913769 925638 FALSE ENSGACG00000005161
1 900001 974999 ENSGACT00000006858 931955 937054 FALSE ENSGACG00000005173
1 900001 974999 ENSGACT00000006906 940637 945583 FALSE ENSGACG00000005183
1 975001 1049999 ENSGACT00000006960 992281 1011125 FALSE ENSGACG00000005228
1 975001 1049999 ENSGACT00000006965 992548 1011083 FALSE ENSGACG00000005228
1 975001 1049999 ENSGACT00000006969 1021760 1022588 FALSE ENSGACG00000005256
1 975001 1049999 ENSGACT00000006975 1034819 1038608 FALSE ENSGACG00000005257
1 1050001 1124999 ENSGACT00000006986 1053880 1057246 FALSE ENSGACG00000005259
1 1050001 1124999 ENSGACT00000007003 1076088 1085084 FALSE ENSGACG00000005271
1 1125001 1199999 ENSGACT00000007022 1175505 1181937 FALSE ENSGACG00000005285
1 1125001 1199999 ENSGACT00000007028 1184288 1184688 FALSE ENSGACG00000005299
1 1125001 1199999 ENSGACT00000007046 1185206 1186192 FALSE ENSGACG00000005302
1 1125001 1199999 ENSGACT00000007054 1187874 1192146 FALSE ENSGACG00000005321
1 1200001 1274999 ENSGACT00000007083 1234077 1236094 FALSE ENSGACG00000005337
1 1200001 1274999 ENSGACT00000007093 1234238 1236193 FALSE ENSGACG00000005337
1 1200001 1274999 ENSGACT00000007095 1234245 1235949 FALSE ENSGACG00000005337
1 1200001 1274999 ENSGACT00000007100 1236297 1242154 FALSE ENSGACG00000005362
1 1200001 1274999 ENSGACT00000007106 1242776 1244224 FALSE ENSGACG00000005366
1 1200001 1274999 ENSGACT00000007113 1243163 1245714 FALSE ENSGACG00000005366
1 1200001 1274999 ENSGACT00000007120 1260571 1274267 FALSE ENSGACG00000005375
1 1275001 1349999 ENSGACT00000007125 1276013 1277115 FALSE ENSGACG00000005381
1 1275001 1349999 ENSGACT00000007134 1279295 1281935 FALSE ENSGACG00000005384
1 1275001 1349999 ENSGACT00000007139 1279326 1282121 FALSE ENSGACG00000005384
1 1275001 1349999 ENSGACT00000007181 1282804 1288222 FALSE ENSGACG00000005396
1 1275001 1349999 ENSGACT00000007186 1290624 1310251 FALSE ENSGACG00000005426
1 1275001 1349999 ENSGACT00000007190 1315175 1318264 FALSE ENSGACG00000005430
1 1275001 1349999 ENSGACT00000007196 1321632 1328761 FALSE ENSGACG00000005434
1 1350001 1424999 ENSGACT00000007218 1352913 1364832 FALSE ENSGACG00000005438
1 1350001 1424999 ENSGACT00000007232 1369446 1383127 FALSE ENSGACG00000005457
1 1350001 1424999 ENSGACT00000007264 1385915 1393764 FALSE ENSGACG00000005469
1 1350001 1424999 ENSGACT00000007276 1386220 1393772 FALSE ENSGACG00000005469
1 1350001 1424999 ENSGACT00000007291 1387301 1393786 FALSE ENSGACG00000005469
1 1350001 1424999 ENSGACT00000007306 1394892 1400891 FALSE ENSGACG00000005511
1 1350001 1424999 ENSGACT00000007310 1395381 1401575 FALSE ENSGACG00000005511
1 1425001 1499999 ENSGACT00000029305 1465781 1465859 FALSE ENSGACG00000022513
1 1500001 1574999 ENSGACT00000007349 1508261 1535124 FALSE ENSGACG00000005540
1 1500001 1574999 ENSGACT00000007360 1545588 1554821 FALSE ENSGACG00000005551
1 1500001 1574999 ENSGACT00000007389 1560251 1568736 FALSE ENSGACG00000005559
1 1650001 1724999 NA NA NA FALSE NA
1 1725001 1799999 ENSGACT00000007409 1730484 1731398 FALSE ENSGACG00000005595
1 1725001 1799999 ENSGACT00000007436 1751568 1753282 FALSE ENSGACG00000005598
1 1725001 1799999 ENSGACT00000007450 1755126 1762297 FALSE ENSGACG00000005621
1 1725001 1799999 ENSGACT00000007459 1762413 1764918 FALSE ENSGACG00000005634
1 1800001 1874999 ENSGACT00000007467 1811639 1812559 FALSE ENSGACG00000005639
1 1800001 1874999 ENSGACT00000007483 1835798 1849578 FALSE ENSGACG00000005645
1 1800001 1874999 ENSGACT00000007508 1855721 1863275 FALSE ENSGACG00000005662
1 1800001 1874999 ENSGACT00000007515 1867246 1873432 FALSE ENSGACG00000005680
1 1875001 1949999 ENSGACT00000007555 1875460 1882519 FALSE ENSGACG00000005684
1 1875001 1949999 ENSGACT00000007561 1885131 1888093 FALSE ENSGACG00000005715
1 1875001 1949999 ENSGACT00000007567 1888453 1889296 FALSE ENSGACG00000005721
1 1875001 1949999 ENSGACT00000007574 1890918 1895272 FALSE ENSGACG00000005725
1 1875001 1949999 ENSGACT00000007586 1899975 1907740 FALSE ENSGACG00000005732
1 1875001 1949999 ENSGACT00000007590 1903058 1907056 FALSE ENSGACG00000005732
1 1875001 1949999 ENSGACT00000007594 1912692 1913706 FALSE ENSGACG00000005744
1 1875001 1949999 ENSGACT00000007609 1919945 1923826 FALSE ENSGACG00000005747
1 1875001 1949999 ENSGACT00000007613 1919954 1923598 FALSE ENSGACG00000005747
1 1875001 1949999 ENSGACT00000007618 1924903 1926389 FALSE ENSGACG00000005762
1 1950001 2024999 ENSGACT00000007644 1964741 1970521 FALSE ENSGACG00000005766
1 1950001 2024999 ENSGACT00000007663 1971192 1973857 FALSE ENSGACG00000005779
1 1950001 2024999 ENSGACT00000007679 1988336 1991038 FALSE ENSGACG00000005793
1 1950001 2024999 ENSGACT00000007689 2001693 2004597 FALSE ENSGACG00000005807
1 1950001 2024999 ENSGACT00000007691 2001734 2004602 FALSE ENSGACG00000005807
1 1950001 2024999 ENSGACT00000007695 2004856 2007949 FALSE ENSGACG00000005815
1 1950001 2024999 ENSGACT00000007698 2009479 2010527 FALSE ENSGACG00000005818
1 1950001 2024999 ENSGACT00000007707 2013835 2018817 FALSE ENSGACG00000005820
1 2025001 2099999 ENSGACT00000007732 2031473 2034226 FALSE ENSGACG00000005834
1 2025001 2099999 ENSGACT00000007758 2041834 2047281 FALSE ENSGACG00000005843
1 2025001 2099999 ENSGACT00000007765 2042189 2047275 FALSE ENSGACG00000005843
1 2025001 2099999 ENSGACT00000007777 2075764 2085083 FALSE ENSGACG00000005869
1 2025001 2099999 ENSGACT00000007782 2096706 2098851 FALSE ENSGACG00000005876
1 2100001 2174999 ENSGACT00000007797 2110211 2128414 FALSE ENSGACG00000005880
1 2100001 2174999 ENSGACT00000007799 2139386 2140819 FALSE ENSGACG00000005890
1 2100001 2174999 ENSGACT00000007816 2149070 2156200 FALSE ENSGACG00000005892
1 2100001 2174999 ENSGACT00000007823 2149070 2154833 FALSE ENSGACG00000005892
1 2100001 2174999 ENSGACT00000007828 2149474 2155380 FALSE ENSGACG00000005892
1 2100001 2174999 ENSGACT00000007835 2149477 2155371 FALSE ENSGACG00000005892
1 2100001 2174999 ENSGACT00000007848 2156320 2161808 FALSE ENSGACG00000005918
1 2100001 2174999 ENSGACT00000007871 2161683 2166868 FALSE ENSGACG00000005929
1 2100001 2174999 ENSGACT00000007884 2161757 2166771 FALSE ENSGACG00000005929
1 2100001 2174999 ENSGACT00000007894 2167369 2171903 FALSE ENSGACG00000005955
1 2100001 2174999 ENSGACT00000007899 2172113 2173949 FALSE ENSGACG00000005962
1 2175001 2249999 ENSGACT00000007913 2175787 2179394 FALSE ENSGACG00000005965
1 2175001 2249999 ENSGACT00000007918 2175794 2179611 FALSE ENSGACG00000005965
1 2175001 2249999 ENSGACT00000007925 2176263 2179319 FALSE ENSGACG00000005965
1 2175001 2249999 ENSGACT00000007927 2180844 2181239 FALSE ENSGACG00000005984
1 2175001 2249999 ENSGACT00000007944 2189867 2195227 FALSE ENSGACG00000005985
1 2175001 2249999 ENSGACT00000007953 2189891 2195239 FALSE ENSGACG00000005985
1 2175001 2249999 ENSGACT00000007964 2189913 2195389 FALSE ENSGACG00000005985
1 2175001 2249999 ENSGACT00000007975 2197855 2203483 FALSE ENSGACG00000006013
1 2175001 2249999 ENSGACT00000007991 2206772 2213401 FALSE ENSGACG00000006022
1 2175001 2249999 ENSGACT00000008024 2218130 2219616 FALSE ENSGACG00000006034
1 2175001 2249999 ENSGACT00000008038 2218464 2220146 FALSE ENSGACG00000006034
1 2175001 2249999 ENSGACT00000008050 2225187 2236863 FALSE ENSGACG00000006068
1 2175001 2249999 ENSGACT00000008055 2225190 2226884 FALSE ENSGACG00000006068
1 2175001 2249999 ENSGACT00000008095 2237067 2245543 FALSE ENSGACG00000006079
1 2175001 2249999 ENSGACT00000008103 2237427 2245477 FALSE ENSGACG00000006079
1 2250001 2324999 ENSGACT00000008128 2271244 2274912 FALSE ENSGACG00000006128
1 2250001 2324999 ENSGACT00000008133 2277256 2278122 FALSE ENSGACG00000006132
1 2250001 2324999 ENSGACT00000008135 2281697 2283639 FALSE ENSGACG00000006136
1 2250001 2324999 ENSGACT00000008139 2293356 2295366 FALSE ENSGACG00000006137
1 2250001 2324999 ENSGACT00000008145 2301708 2308184 FALSE ENSGACG00000006140
1 2250001 2324999 ENSGACT00000008148 2312717 2319364 FALSE ENSGACG00000006145
1 2250001 2324999 ENSGACT00000008151 2319386 2323033 FALSE ENSGACG00000006148
1 2325001 2399999 ENSGACT00000008160 2330169 2365007 FALSE ENSGACG00000006150
1 2400001 2474999 NA NA NA FALSE NA
1 2475001 2549999 NA NA NA FALSE NA
1 2550001 2624999 NA NA NA FALSE NA
1 2625001 2699999 ENSGACT00000008164 2636733 2646924 FALSE ENSGACG00000006157
1 2625001 2699999 ENSGACT00000008167 2698988 2699903 FALSE ENSGACG00000006160
1 2700001 2774999 ENSGACT00000008169 2703457 2704480 FALSE ENSGACG00000006164
1 2700001 2774999 ENSGACT00000008179 2707721 2711676 FALSE ENSGACG00000006166
1 2700001 2774999 ENSGACT00000008183 2714136 2716792 FALSE ENSGACG00000006174
1 2700001 2774999 ENSGACT00000008187 2717130 2718198 FALSE ENSGACG00000006179
1 2700001 2774999 ENSGACT00000008203 2735505 2755528 FALSE ENSGACG00000006182
1 2775001 2849999 ENSGACT00000008214 2782049 2790640 FALSE ENSGACG00000006192
1 2775001 2849999 ENSGACT00000008242 2798666 2813258 FALSE ENSGACG00000006201
1 2775001 2849999 ENSGACT00000008249 2798717 2813268 FALSE ENSGACG00000006201
1 2775001 2849999 ENSGACT00000008261 2824077 2830150 FALSE ENSGACG00000006227
1 2850001 2924999 ENSGACT00000008273 2884055 2895498 FALSE ENSGACG00000006236
1 2925001 2999999 ENSGACT00000008296 2954358 2967016 FALSE ENSGACG00000006254
1 2925001 2999999 ENSGACT00000008303 2955622 2966988 FALSE ENSGACG00000006254
1 2925001 2999999 ENSGACT00000008317 2988172 2992797 FALSE ENSGACG00000006274
1 2925001 2999999 ENSGACT00000008328 2995003 2999589 FALSE ENSGACG00000006282
1 3000001 3074999 ENSGACT00000008329 3022738 3023274 FALSE ENSGACG00000006290
1 3000001 3074999 ENSGACT00000008330 3028512 3031032 FALSE ENSGACG00000006291
1 3000001 3074999 ENSGACT00000008334 3032666 3033857 FALSE ENSGACG00000006292
1 3000001 3074999 ENSGACT00000008341 3039163 3045850 FALSE ENSGACG00000006296
1 3000001 3074999 ENSGACT00000008358 3047218 3052489 FALSE ENSGACG00000006300
1 3000001 3074999 ENSGACT00000008361 3048277 3052489 FALSE ENSGACG00000006300
1 3000001 3074999 ENSGACT00000008366 3056578 3059895 FALSE ENSGACG00000006316
1 3000001 3074999 ENSGACT00000008376 3060604 3065797 FALSE ENSGACG00000006321
1 3000001 3074999 ENSGACT00000008380 3060604 3064668 FALSE ENSGACG00000006321
1 3000001 3074999 ENSGACT00000008384 3060604 3064565 FALSE ENSGACG00000006321
1 3000001 3074999 ENSGACT00000008386 3060604 3064565 FALSE ENSGACG00000006321
1 3075001 3149999 ENSGACT00000008397 3080902 3085530 FALSE ENSGACG00000006331
1 3075001 3149999 ENSGACT00000008401 3080910 3085572 FALSE ENSGACG00000006331
1 3075001 3149999 ENSGACT00000008407 3086853 3088913 FALSE ENSGACG00000006344
1 3075001 3149999 ENSGACT00000008430 3091076 3108409 FALSE ENSGACG00000006348
1 3075001 3149999 ENSGACT00000008441 3091091 3108367 FALSE ENSGACG00000006348
1 3075001 3149999 ENSGACT00000008488 3124210 3127693 FALSE ENSGACG00000006375
1 3075001 3149999 ENSGACT00000008501 3129406 3136785 FALSE ENSGACG00000006407
1 3075001 3149999 ENSGACT00000008506 3145697 3149203 FALSE ENSGACG00000006415
1 3150001 3224999 ENSGACT00000008559 3154035 3156749 FALSE ENSGACG00000006419
1 3150001 3224999 ENSGACT00000008563 3163025 3169107 FALSE ENSGACG00000006463
1 3150001 3224999 ENSGACT00000008567 3175899 3178064 FALSE ENSGACG00000006467
1 3150001 3224999 ENSGACT00000008570 3178684 3180094 FALSE ENSGACG00000006469
1 3150001 3224999 ENSGACT00000008578 3185346 3192141 FALSE ENSGACG00000006472
1 3225001 3299999 NA NA NA FALSE NA
1 3300001 3374999 ENSGACT00000008629 3303968 3318945 FALSE ENSGACG00000006486
1 3300001 3374999 ENSGACT00000008654 3325760 3330237 FALSE ENSGACG00000006518
1 3300001 3374999 ENSGACT00000008667 3325883 3330237 FALSE ENSGACG00000006518
1 3300001 3374999 ENSGACT00000008672 3332783 3338589 FALSE ENSGACG00000006546
1 3300001 3374999 ENSGACT00000008682 3340594 3345546 FALSE ENSGACG00000006550
1 3300001 3374999 ENSGACT00000008685 3347259 3347414 FALSE ENSGACG00000006557
1 3300001 3374999 ENSGACT00000008705 3352438 3368132 FALSE ENSGACG00000006559
1 3375001 3449999 ENSGACT00000008720 3390561 3407147 FALSE ENSGACG00000006573
1 3375001 3449999 ENSGACT00000008725 3414389 3416002 FALSE ENSGACG00000006583
1 3375001 3449999 ENSGACT00000008730 3421423 3436453 FALSE ENSGACG00000006586
1 3450001 3524999 ENSGACT00000008732 3486252 3490154 FALSE ENSGACG00000006591
1 3525001 3599999 ENSGACT00000008758 3537920 3541113 FALSE ENSGACG00000006593
1 3525001 3599999 ENSGACT00000008769 3538069 3541210 FALSE ENSGACG00000006593
1 3600001 3674999 NA NA NA FALSE NA
1 3675001 3749999 NA NA NA FALSE NA
1 3750001 3824999 NA NA NA FALSE NA
1 3825001 3899999 ENSGACT00000008784 3837246 3845416 FALSE ENSGACG00000006625
1 3825001 3899999 ENSGACT00000008795 3848030 3851119 FALSE ENSGACG00000006628
1 3900001 3974999 ENSGACT00000008799 3935093 3946002 FALSE ENSGACG00000006635
1 3975001 4049999 ENSGACT00000008825 3984198 4032562 FALSE ENSGACG00000006638
1 3975001 4049999 ENSGACT00000008832 4025516 4032562 FALSE ENSGACG00000006638
1 3975001 4049999 ENSGACT00000008838 4043118 4044679 FALSE ENSGACG00000006660
1 3975001 4049999 ENSGACT00000008844 4046937 4048548 FALSE ENSGACG00000006666
1 3975001 4049999 ENSGACT00000008851 4047511 4048533 FALSE ENSGACG00000006666
1 4050001 4124999 ENSGACT00000008856 4051080 4054603 FALSE ENSGACG00000006675
1 4050001 4124999 ENSGACT00000008875 4056681 4058563 FALSE ENSGACG00000006679
1 4050001 4124999 ENSGACT00000008877 4062043 4063888 FALSE ENSGACG00000006696
1 4050001 4124999 ENSGACT00000008883 4066933 4068501 FALSE ENSGACG00000006697
1 4050001 4124999 ENSGACT00000008891 4084568 4091343 FALSE ENSGACG00000006702
1 4050001 4124999 ENSGACT00000008995 4093568 4112992 FALSE ENSGACG00000006708
1 4050001 4124999 ENSGACT00000009006 4114283 4117189 FALSE ENSGACG00000006784
1 4050001 4124999 ENSGACT00000009032 4118509 4121716 FALSE ENSGACG00000006790
1 4050001 4124999 ENSGACT00000009042 4122097 4123446 FALSE ENSGACG00000006808
1 4125001 4199999 ENSGACT00000009100 4128096 4137143 FALSE ENSGACG00000006839
1 4125001 4199999 ENSGACT00000009104 4128272 4137512 FALSE ENSGACG00000006839
1 4125001 4199999 ENSGACT00000009112 4131495 4137428 FALSE ENSGACG00000006839
1 4125001 4199999 ENSGACT00000009117 4139700 4159247 FALSE ENSGACG00000006866
1 4125001 4199999 ENSGACT00000009121 4165526 4175090 FALSE ENSGACG00000006869
1 4125001 4199999 ENSGACT00000009124 4176012 4177785 FALSE ENSGACG00000006872
1 4125001 4199999 ENSGACT00000009137 4178468 4194469 FALSE ENSGACG00000006874
1 4125001 4199999 ENSGACT00000009143 4196690 4198909 FALSE ENSGACG00000006887
1 4200001 4274999 ENSGACT00000009158 4220184 4222102 FALSE ENSGACG00000006890
1 4200001 4274999 ENSGACT00000009163 4226568 4230446 FALSE ENSGACG00000006900
1 4200001 4274999 ENSGACT00000009166 4236565 4248993 FALSE ENSGACG00000006903
1 4200001 4274999 ENSGACT00000009171 4250817 4251719 FALSE ENSGACG00000006906
1 4200001 4274999 ENSGACT00000009174 4256610 4274433 FALSE ENSGACG00000006908
1 4200001 4274999 ENSGACT00000009179 4259378 4274453 FALSE ENSGACG00000006908
1 4200001 4274999 ENSGACT00000009184 4271760 4274442 FALSE ENSGACG00000006908
1 4200001 4274999 ENSGACT00000009185 4261169 4274393 FALSE ENSGACG00000006915
1 4275001 4349999 ENSGACT00000029365 4299459 4299517 FALSE ENSGACG00000022573
1 4350001 4424999 NA NA NA FALSE NA
1 4425001 4499999 ENSGACT00000009258 4425525 4435391 FALSE ENSGACG00000006936
1 4425001 4499999 ENSGACT00000009261 4429764 4433339 FALSE ENSGACG00000006979
1 4425001 4499999 ENSGACT00000009282 4442339 4461112 FALSE ENSGACG00000006981
1 4425001 4499999 ENSGACT00000009291 4459442 4461112 FALSE ENSGACG00000006998
1 4425001 4499999 ENSGACT00000009296 4461958 4465347 FALSE ENSGACG00000007005
1 4425001 4499999 ENSGACT00000009298 4468754 4470334 FALSE ENSGACG00000007008
1 4425001 4499999 ENSGACT00000009307 4470998 4481907 FALSE ENSGACG00000007009
1 4425001 4499999 ENSGACT00000009318 4482490 4485197 FALSE ENSGACG00000007016
1 4425001 4499999 ENSGACT00000009326 4482509 4485218 FALSE ENSGACG00000007016
1 4425001 4499999 ENSGACT00000009339 4485819 4491775 FALSE ENSGACG00000007027
1 4425001 4499999 ENSGACT00000009348 4485828 4491775 FALSE ENSGACG00000007027
1 4425001 4499999 ENSGACT00000009357 4494513 4498339 FALSE ENSGACG00000007046
1 4425001 4499999 ENSGACT00000028043 4482138 4482234 FALSE ENSGACG00000021251
1 4500001 4574999 ENSGACT00000009373 4511274 4515926 FALSE ENSGACG00000007060
1 4575001 4649999 ENSGACT00000009394 4586161 4587831 FALSE ENSGACG00000007071
1 4575001 4649999 ENSGACT00000009409 4586398 4587852 FALSE ENSGACG00000007071
1 4575001 4649999 ENSGACT00000009411 4607682 4609548 FALSE ENSGACG00000007093
1 4575001 4649999 ENSGACT00000009421 4617503 4623965 FALSE ENSGACG00000007095
1 4650001 4724999 ENSGACT00000009438 4706529 4713986 FALSE ENSGACG00000007101
1 4725001 4799999 ENSGACT00000009460 4743905 4749468 FALSE ENSGACG00000007125
1 4725001 4799999 ENSGACT00000009469 4744015 4749468 FALSE ENSGACG00000007125
1 4725001 4799999 ENSGACT00000009473 4766643 4768983 FALSE ENSGACG00000007140
1 4725001 4799999 ENSGACT00000009491 4772115 4783409 FALSE ENSGACG00000007144
1 4725001 4799999 ENSGACT00000009502 4792948 4798955 FALSE ENSGACG00000007161
1 4875001 4949999 NA NA NA FALSE NA
1 4950001 5024999 NA NA NA FALSE NA
1 5025001 5099999 ENSGACT00000009583 5071159 5085646 FALSE ENSGACG00000007181
1 5175001 5249999 ENSGACT00000009633 5186778 5192211 FALSE ENSGACG00000007230
1 5175001 5249999 ENSGACT00000009635 5187022 5192196 FALSE ENSGACG00000007230
1 5250001 5324999 NA NA NA FALSE NA
1 5400001 5474999 ENSGACT00000009652 5408524 5408916 FALSE ENSGACG00000007274
1 5475001 5549999 ENSGACT00000009714 5496803 5535584 FALSE ENSGACG00000007302
1 5475001 5549999 ENSGACT00000009732 5512892 5515273 FALSE ENSGACG00000007320
1 5475001 5549999 ENSGACT00000009752 5537599 5542606 FALSE ENSGACG00000007332
1 5475001 5549999 ENSGACT00000009762 5537619 5542600 FALSE ENSGACG00000007332
1 5475001 5549999 ENSGACT00000009767 5537626 5542661 FALSE ENSGACG00000007332
1 5475001 5549999 ENSGACT00000009771 5537650 5542661 FALSE ENSGACG00000007332
1 5475001 5549999 ENSGACT00000009775 5543009 5544661 FALSE ENSGACG00000007361
1 5475001 5549999 ENSGACT00000009783 5544654 5546748 FALSE ENSGACG00000007362
1 5475001 5549999 ENSGACT00000009790 5545066 5547177 FALSE ENSGACG00000007362
1 5550001 5624999 ENSGACT00000009819 5562826 5565056 FALSE ENSGACG00000007388
1 5550001 5624999 ENSGACT00000009863 5570060 5575752 FALSE ENSGACG00000007395
1 5550001 5624999 ENSGACT00000009866 5570060 5575752 FALSE ENSGACG00000007395
1 5550001 5624999 ENSGACT00000009879 5577318 5597550 FALSE ENSGACG00000007428
1 5700001 5774999 ENSGACT00000009975 5731414 5748914 FALSE ENSGACG00000007464
1 5700001 5774999 ENSGACT00000009986 5756938 5766284 FALSE ENSGACG00000007512
1 5700001 5774999 ENSGACT00000009990 5759769 5763212 FALSE ENSGACG00000007517
1 5775001 5849999 ENSGACT00000010081 5794328 5802345 FALSE ENSGACG00000007587
1 5775001 5849999 ENSGACT00000010093 5805079 5806185 FALSE ENSGACG00000007590
1 5775001 5849999 ENSGACT00000010106 5807949 5810402 FALSE ENSGACG00000007598
1 5775001 5849999 ENSGACT00000010109 5836452 5839025 FALSE ENSGACG00000007608
1 5775001 5849999 ENSGACT00000010112 5836793 5838523 FALSE ENSGACG00000007608
1 5850001 5924999 ENSGACT00000010131 5854274 5864978 FALSE ENSGACG00000007613
1 5850001 5924999 ENSGACT00000010140 5866321 5868139 FALSE ENSGACG00000007630
1 5850001 5924999 ENSGACT00000010157 5866548 5868151 FALSE ENSGACG00000007630
1 5850001 5924999 ENSGACT00000010179 5871321 5902430 FALSE ENSGACG00000007649
1 5850001 5924999 ENSGACT00000010184 5911897 5915684 FALSE ENSGACG00000007670
1 5925001 5999999 ENSGACT00000010215 5937570 5939340 FALSE ENSGACG00000007693
1 5925001 5999999 ENSGACT00000010220 5944178 5955498 FALSE ENSGACG00000007695
1 5925001 5999999 ENSGACT00000010233 5966412 5977419 FALSE ENSGACG00000007700
1 5925001 5999999 ENSGACT00000010239 5980980 5983171 FALSE ENSGACG00000007708
