"chr" "pos1" "pos2" "gene" "bias_direction" "bias_amount" "fst_wht_cmn" "fst_wht_cbr" "fst_cbr_cmn"
7 22350001 22425000 "ENSGACG00000020693" "F" 0.019 0.094201615862069 0.120042262068966 0.024213936
8 6900001 6975000 "ENSGACG00000006545" "M" 0.414 0.0778120709473684 0.0661107905789474 0.0333933516315789
8 6900001 6975000 "ENSGACG00000006562" "F" 0.092 0.0778120709473684 0.0661107905789474 0.0333933516315789
8 6900001 6975000 "ENSGACG00000006551" "F" 0.021 0.0778120709473684 0.0661107905789474 0.0333933516315789
9 10050001 10125000 "ENSGACG00000018120" "M" 1.251 0.156381733333333 0.0761047666666667 0.02530269
9 10050001 10125000 "ENSGACG00000018126" "F" 0.009 0.156381733333333 0.0761047666666667 0.02530269
9 10050001 10125000 "ENSGACG00000018128" "M" 0.008 0.156381733333333 0.0761047666666667 0.02530269
9 10425001 10500000 "ENSGACG00000018210" "F" 0.255 0.187077333333333 0.115175433333333 0.0325952666666667
9 10425001 10500000 "ENSGACG00000018206" "M" 0.185 0.187077333333333 0.115175433333333 0.0325952666666667
9 10425001 10500000 "ENSGACG00000018208" "M" 0.174 0.187077333333333 0.115175433333333 0.0325952666666667
9 10425001 10500000 "ENSGACG00000018202" "M" 0.155 0.187077333333333 0.115175433333333 0.0325952666666667
9 10425001 10500000 "ENSGACG00000018216" "M" 0.044 0.187077333333333 0.115175433333333 0.0325952666666667
9 10650001 10725000 "ENSGACG00000018233" "F" 0.485 0.121478385714286 0.128169578571429 0.0136481028571429
9 10650001 10725000 "ENSGACG00000018230" "M" 0.102 0.121478385714286 0.128169578571429 0.0136481028571429
10 7350001 7425000 "ENSGACG00000004817" "M" 0.224 0.0556122333333333 0.147526411111111 0.0332907155555556
10 7350001 7425000 "ENSGACG00000004837" "M" 0.065 0.0556122333333333 0.147526411111111 0.0332907155555556
10 7350001 7425000 "ENSGACG00000004846" "F" 0.055 0.0556122333333333 0.147526411111111 0.0332907155555556
10 13125001 13200000 "ENSGACG00000008805" "M" 0.126 0.189017373333333 0.0602726233333333 0.0490507666666667
10 13125001 13200000 "ENSGACG00000008798" "M" 0.014 0.189017373333333 0.0602726233333333 0.0490507666666667
11 10425001 10500000 "ENSGACG00000011601" "M" 0.317 0.7563875 0.717484 0
11 10425001 10500000 "ENSGACG00000011578" "M" 0.198 0.7563875 0.717484 0
11 10425001 10500000 "ENSGACG00000011550" "M" 0.168 0.7563875 0.717484 0
11 10425001 10500000 "ENSGACG00000011592" "F" 0.127 0.7563875 0.717484 0
12 7875001 7950000 "ENSGACG00000006447" "F" 0.363 0.2569278 0.230369075833333 0.000216041666666667
12 7875001 7950000 "ENSGACG00000006452" "M" 0.309 0.2569278 0.230369075833333 0.000216041666666667
15 8175001 8250000 "ENSGACG00000009968" "M" 0.546 0.145391169166667 0.0810735583333333 0.0233802441666667
15 8175001 8250000 "ENSGACG00000009976" "M" 0.214 0.145391169166667 0.0810735583333333 0.0233802441666667
16 9300001 9375000 "ENSGACG00000004189" "F" 0.123 0.0816517243571429 0.07825725 0.00664212642857143
16 9300001 9375000 "ENSGACG00000004166" "F" 0.009 0.0816517243571429 0.07825725 0.00664212642857143
16 9975001 10050000 "ENSGACG00000004687" "M" 0.281 0.0968058428571429 0.12184881 0.0205753071428571
16 9975001 10050000 "ENSGACG00000004749" "M" 0.186 0.0968058428571429 0.12184881 0.0205753071428571
16 9975001 10050000 "ENSGACG00000004721" "M" 0.132 0.0968058428571429 0.12184881 0.0205753071428571
16 17625001 17700000 "ENSGACG00000009132" "M" 0.2 0.087821775 0.1749205875 0.02715004875
16 17625001 17700000 "ENSGACG00000009047" "M" 0.116 0.087821775 0.1749205875 0.02715004875
16 17625001 17700000 "ENSGACG00000009102" "M" 0.096 0.087821775 0.1749205875 0.02715004875
16 17625001 17700000 "ENSGACG00000009122" "F" 0.054 0.087821775 0.1749205875 0.02715004875
17 4875001 4950000 "ENSGACG00000006223" "M" 0.348 0.130357358333333 0.0673250819166667 0.0254694416666667
17 4875001 4950000 "ENSGACG00000006233" "F" 0.14 0.130357358333333 0.0673250819166667 0.0254694416666667
17 4875001 4950000 "ENSGACG00000006187" "M" 0.058 0.130357358333333 0.0673250819166667 0.0254694416666667
17 4875001 4950000 "ENSGACG00000006153" "F" 0.043 0.130357358333333 0.0673250819166667 0.0254694416666667
17 8025001 8100000 "ENSGACG00000008661" "M" 0.042 0.0922042571428571 0.0509116285714286 0.0197460857142857
17 8025001 8100000 "ENSGACG00000008663" "F" 0.032 0.0922042571428571 0.0509116285714286 0.0197460857142857
18 6225001 6300000 "ENSGACG00000007459" "M" 0.263 0.107587526 0.21521384 0.024026707
18 6300001 6375000 "ENSGACG00000007478" "F" 0.125 0.200318272222222 0.290753094444444 0.00745040727777778
18 6300001 6375000 "ENSGACG00000007514" "F" 0.064 0.200318272222222 0.290753094444444 0.00745040727777778
18 6300001 6375000 "ENSGACG00000007483" "F" 0.061 0.200318272222222 0.290753094444444 0.00745040727777778
18 6450001 6525000 "ENSGACG00000007631" "M" 0.666 0.0849373875 0.12430621375 0.016622535
18 6450001 6525000 "ENSGACG00000007571" "M" 0.2 0.0849373875 0.12430621375 0.016622535
18 6450001 6525000 "ENSGACG00000007565" "F" 0.195 0.0849373875 0.12430621375 0.016622535
18 6450001 6525000 "ENSGACG00000007582" "M" 0.186 0.0849373875 0.12430621375 0.016622535
18 8550001 8625000 "ENSGACG00000008921" "M" 0.208 0.0690546711111111 0.213068922222222 0.0681783311111111
18 8550001 8625000 "ENSGACG00000008950" "M" 0.069 0.0690546711111111 0.213068922222222 0.0681783311111111
18 11175001 11250000 "ENSGACG00000011113" "F" 0.278 0.0397595230769231 0.0848930326923077 0.0491583869230769
18 11175001 11250000 "ENSGACG00000011129" "F" 0.239 0.0397595230769231 0.0848930326923077 0.0491583869230769
18 11625001 11700000 "ENSGACG00000011399" "F" 0.101 0.094429025 0.018637622875 0.03910925125
18 11625001 11700000 "ENSGACG00000011452" "F" 0.085 0.094429025 0.018637622875 0.03910925125
18 11625001 11700000 "ENSGACG00000011402" "M" 0.054 0.094429025 0.018637622875 0.03910925125
18 11625001 11700000 "ENSGACG00000011427" "F" 0.022 0.094429025 0.018637622875 0.03910925125
19 7050001 7125000 "ENSGACG00000005659" "F" 1.031 0.0198056263636364 0.0157552063636364 0.0183004736363636
19 7050001 7125000 "ENSGACG00000005590" "F" 0.986 0.0198056263636364 0.0157552063636364 0.0183004736363636
19 7050001 7125000 "ENSGACG00000005561" "F" 0.775 0.0198056263636364 0.0157552063636364 0.0183004736363636
19 7050001 7125000 "ENSGACG00000005632" "F" 0.676 0.0198056263636364 0.0157552063636364 0.0183004736363636
19 11550001 11625000 "ENSGACG00000010024" "F" 0.872 0.0308042071428571 0.0427609847857143 0.0508578964285714
20 7875001 7950000 "ENSGACG00000007038" "M" 0.563 0.0210049666666667 0.163615983333333 0.086679
20 7875001 7950000 "ENSGACG00000007040" "M" 0.331 0.0210049666666667 0.163615983333333 0.086679
20 7875001 7950000 "ENSGACG00000007061" "M" 0.175 0.0210049666666667 0.163615983333333 0.086679
20 11025001 11100000 "ENSGACG00000009439" "F" 0.708 0.137780442857143 0.135639978571429 0.0022709475
20 11025001 11100000 "ENSGACG00000009451" "F" 0.379 0.137780442857143 0.135639978571429 0.0022709475
20 11025001 11100000 "ENSGACG00000009439" "F" 0.237 0.137780442857143 0.135639978571429 0.0022709475
20 11025001 11100000 "ENSGACG00000009449" "F" 0.019 0.137780442857143 0.135639978571429 0.0022709475
21 2925001 3e+06 "ENSGACG00000002155" "M" 0.506 0.21736545 0.17636065 0.00563495
21 9675001 9750000 "ENSGACG00000004347" "M" 0.458 0.159078222222222 0.0920841111111111 0.0225750133333333
21 9675001 9750000 "ENSGACG00000004365" "M" 0.086 0.159078222222222 0.0920841111111111 0.0225750133333333
21 9675001 9750000 "ENSGACG00000004363" "F" 0.009 0.159078222222222 0.0920841111111111 0.0225750133333333
21 9675001 9750000 "ENSGACG00000004359" "M" 0.005 0.159078222222222 0.0920841111111111 0.0225750133333333
21 10650001 10725000 "ENSGACG00000004967" "M" 0.094 0.1189725125 0.056434475 0.04654134125
21 10650001 10725000 "ENSGACG00000004953" "M" 0.077 0.1189725125 0.056434475 0.04654134125
21 10650001 10725000 "ENSGACG00000004982" "F" 0.034 0.1189725125 0.056434475 0.04654134125
22 5550001 5625000 "ENSGACG00000000869" "M" 0.452 0.117639280588235 0.135303764705882 0.0143227288235294
