transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000012070,-0.054,0.174,0.511
ENSGACT00000012071,-0.021,0.318,0.641
ENSGACT00000012073,0.386,0.001,0.014
ENSGACT00000012074,-0.066,0.284,0.554
ENSGACT00000012083,-0.464,0.001,0.014
ENSGACT00000012084,-0.110,0.392,0.708
ENSGACT00000012086,0.280,0.050,0.254
ENSGACT00000012090,-0.082,0.112,0.465
ENSGACT00000012099,-0.048,0.316,0.641
ENSGACT00000012101,0.200,0.002,0.043
ENSGACT00000012103,0.081,0.020,0.152
ENSGACT00000012107,0.084,0.776,1.000
ENSGACT00000012114,0.104,0.254,0.545
ENSGACT00000012115,-0.291,0.012,0.102
ENSGACT00000012120,0.221,0.004,0.068
ENSGACT00000012122,-0.085,0.394,0.708
ENSGACT00000012123,0.146,0.024,0.161
ENSGACT00000012125,-0.153,0.058,0.266
ENSGACT00000012128,0.419,0.001,0.014
ENSGACT00000012131,-0.171,0.272,0.545
ENSGACT00000012132,0.125,0.010,0.097
ENSGACT00000012135,-0.133,0.144,0.503
ENSGACT00000012136,0.194,0.204,0.545
ENSGACT00000012144,-0.130,0.046,0.254
ENSGACT00000012145,0.007,0.564,0.816
ENSGACT00000012146,0.018,0.942,1.000
ENSGACT00000012148,-0.013,0.914,1.000
ENSGACT00000012149,-0.648,0.001,0.014
ENSGACT00000012150,0.139,0.114,0.465
ENSGACT00000012155,0.008,0.986,1.000
ENSGACT00000012156,-0.241,0.001,0.014
ENSGACT00000012158,-0.166,0.084,0.325
ENSGACT00000012159,-0.063,0.566,0.816
ENSGACT00000012160,-0.267,0.001,0.014
ENSGACT00000012162,0.267,0.001,0.014
ENSGACT00000012164,-0.134,0.306,0.641
ENSGACT00000012165,-0.380,0.001,0.014
ENSGACT00000012168,-0.067,0.488,0.783
ENSGACT00000012169,0.043,0.320,0.641
ENSGACT00000012171,-0.161,0.026,0.161
ENSGACT00000012174,0.308,0.014,0.122
ENSGACT00000012175,0.000,0.664,0.862
ENSGACT00000012176,-0.286,0.001,0.014
ENSGACT00000012177,0.095,0.922,1.000
ENSGACT00000012185,-0.347,0.001,0.014
ENSGACT00000012190,0.797,0.001,0.014
ENSGACT00000012193,-0.422,0.001,0.014
ENSGACT00000012198,-0.380,0.001,0.014
ENSGACT00000012199,-0.061,0.122,0.465
ENSGACT00000012201,0.088,0.212,0.545
ENSGACT00000012205,-0.095,0.230,0.545
ENSGACT00000012208,0.171,0.001,0.014
ENSGACT00000012209,0.020,0.906,1.000
ENSGACT00000012210,0.152,0.012,0.102
ENSGACT00000012211,0.065,0.062,0.266
ENSGACT00000012212,0.031,0.520,0.816
ENSGACT00000012217,-0.139,0.208,0.545
ENSGACT00000012218,0.135,0.008,0.073
ENSGACT00000012220,0.089,0.310,0.641
ENSGACT00000012226,-0.182,0.002,0.043
ENSGACT00000012229,-0.119,0.286,0.597
ENSGACT00000012230,0.132,0.160,0.511
ENSGACT00000012231,-0.191,0.018,0.152
ENSGACT00000012233,0.284,0.044,0.254
ENSGACT00000012234,0.336,0.001,0.014
ENSGACT00000012235,0.434,0.001,0.014
ENSGACT00000012236,0.211,0.001,0.014
ENSGACT00000012238,-0.116,0.060,0.266
ENSGACT00000012240,0.150,0.220,0.545
ENSGACT00000012243,0.497,0.001,0.014
ENSGACT00000012244,0.086,0.008,0.073
ENSGACT00000012246,0.371,0.001,0.014
ENSGACT00000012248,-0.111,0.004,0.068
ENSGACT00000012250,0.168,0.008,0.073
ENSGACT00000012256,-0.145,0.016,0.122
ENSGACT00000012260,-0.050,0.644,0.816
ENSGACT00000012261,-0.151,0.004,0.068
ENSGACT00000012264,0.243,0.001,0.014
ENSGACT00000012266,0.114,0.468,0.783
ENSGACT00000012269,0.032,0.292,0.640
ENSGACT00000012271,0.213,0.110,0.465
ENSGACT00000012272,-0.093,0.068,0.271
ENSGACT00000012273,-0.071,0.252,0.545
ENSGACT00000012275,-0.850,0.001,0.014
ENSGACT00000012277,0.046,0.278,0.554
ENSGACT00000012285,0.191,0.006,0.068
ENSGACT00000012286,0.016,0.788,1.000
ENSGACT00000012287,0.143,0.136,0.503
ENSGACT00000012292,-0.418,0.070,0.271
ENSGACT00000012293,-0.041,0.264,0.545
ENSGACT00000012307,-0.374,0.001,0.014
ENSGACT00000012308,-0.019,0.852,1.000
ENSGACT00000012312,0.034,0.844,1.000
ENSGACT00000012316,-0.040,0.882,1.000
ENSGACT00000012317,0.275,0.001,0.014
ENSGACT00000012319,-0.736,0.001,0.014
ENSGACT00000012324,-0.281,0.014,0.122
ENSGACT00000012325,0.074,0.132,0.465
ENSGACT00000012327,-0.148,0.001,0.014
ENSGACT00000012333,0.297,0.001,0.014
ENSGACT00000012334,0.206,0.001,0.014
ENSGACT00000012338,-0.003,0.862,1.000
ENSGACT00000012340,-0.013,0.914,1.000
ENSGACT00000012342,-0.089,0.098,0.343
ENSGACT00000012344,-0.096,0.120,0.465
ENSGACT00000012346,0.065,0.138,0.503
ENSGACT00000012349,0.170,0.508,0.816
ENSGACT00000012351,0.031,0.674,0.862
ENSGACT00000012357,-0.124,0.010,0.097
ENSGACT00000012360,-0.022,0.884,1.000
ENSGACT00000012365,0.356,0.001,0.014
ENSGACT00000012366,0.126,0.140,0.503
ENSGACT00000012367,0.055,0.524,0.816
ENSGACT00000012370,0.095,0.094,0.343
ENSGACT00000012371,-0.058,0.326,0.641
ENSGACT00000012373,0.012,0.578,0.816
ENSGACT00000012387,0.256,0.001,0.014
ENSGACT00000012389,0.016,0.606,0.816
ENSGACT00000012392,-0.720,0.001,0.014
ENSGACT00000012395,0.037,0.648,0.862
ENSGACT00000012402,0.168,0.040,0.254
ENSGACT00000012404,0.134,0.066,0.271
ENSGACT00000012407,0.011,0.658,0.862
ENSGACT00000012410,0.106,0.190,0.537
ENSGACT00000012412,0.064,0.430,0.783
ENSGACT00000012418,0.078,0.218,0.545
ENSGACT00000012419,-0.123,0.084,0.325
ENSGACT00000012422,0.225,0.001,0.014
ENSGACT00000012431,-0.336,0.001,0.014
ENSGACT00000012432,0.242,0.001,0.014
ENSGACT00000012433,-1.098,0.001,0.014
ENSGACT00000012444,0.491,0.001,0.014
ENSGACT00000012446,0.238,0.040,0.254
ENSGACT00000012453,0.024,0.588,0.816
ENSGACT00000012458,0.175,0.558,0.816
ENSGACT00000012461,0.273,0.036,0.206
ENSGACT00000012465,0.057,0.052,0.266
ENSGACT00000012467,0.445,0.001,0.014
ENSGACT00000012468,0.111,0.184,0.527
ENSGACT00000012469,-0.237,0.002,0.043
ENSGACT00000012470,-0.046,0.254,0.545
ENSGACT00000012471,0.033,0.712,0.883
ENSGACT00000012473,0.316,0.001,0.014
ENSGACT00000012474,-0.708,0.001,0.014
ENSGACT00000012475,-0.140,0.024,0.161
ENSGACT00000012478,-0.989,0.001,0.014
ENSGACT00000012480,0.479,0.001,0.014
ENSGACT00000012482,-0.019,0.758,0.947
ENSGACT00000012484,-0.569,0.001,0.014
ENSGACT00000012485,-0.379,0.080,0.325
ENSGACT00000012490,0.509,0.096,0.343
ENSGACT00000012491,0.221,0.001,0.014
ENSGACT00000012492,0.021,0.580,0.816
ENSGACT00000012493,0.606,0.001,0.014
ENSGACT00000012496,0.353,0.001,0.014
ENSGACT00000012497,0.300,0.112,0.465
ENSGACT00000012498,0.289,0.001,0.014
ENSGACT00000012500,-0.024,0.602,0.816
ENSGACT00000012508,0.073,0.504,0.816
ENSGACT00000012509,0.005,0.708,0.883
ENSGACT00000012510,0.537,0.001,0.014
ENSGACT00000012513,0.038,0.532,0.816
ENSGACT00000012517,0.082,0.220,0.545
ENSGACT00000012522,0.022,0.614,0.816
ENSGACT00000012523,0.243,0.008,0.073
ENSGACT00000012528,0.048,0.266,0.545
ENSGACT00000012531,-0.026,0.584,0.816
ENSGACT00000012532,1.100,0.001,0.014
ENSGACT00000012533,-0.261,0.034,0.206
ENSGACT00000012534,-0.099,0.064,0.266
ENSGACT00000012538,-0.077,0.354,0.641
ENSGACT00000012541,-0.103,0.002,0.043
ENSGACT00000012546,0.122,0.280,0.554
ENSGACT00000012550,0.122,0.046,0.254
ENSGACT00000012554,0.033,0.364,0.641
ENSGACT00000012555,0.064,0.028,0.163
ENSGACT00000012556,0.365,0.001,0.014
ENSGACT00000012560,-7.005,0.001,0.014
ENSGACT00000012561,0.068,0.332,0.641
ENSGACT00000012564,0.078,0.028,0.163
ENSGACT00000012566,0.185,0.004,0.068
ENSGACT00000012569,0.396,0.050,0.254
ENSGACT00000012570,0.145,0.012,0.102
ENSGACT00000012571,0.145,0.078,0.325
ENSGACT00000012572,0.342,0.001,0.014
ENSGACT00000012573,-0.146,0.198,0.545
ENSGACT00000012574,0.441,0.030,0.183
ENSGACT00000012577,0.016,0.994,1.000
ENSGACT00000012582,0.037,0.192,0.545
ENSGACT00000012583,-0.007,0.858,1.000
ENSGACT00000012586,0.101,0.232,0.545
ENSGACT00000012589,0.382,0.001,0.014
ENSGACT00000012591,-0.033,0.726,0.883
ENSGACT00000012598,0.008,0.846,1.000
ENSGACT00000012600,-0.050,0.154,0.511
ENSGACT00000012601,0.603,0.001,0.014
ENSGACT00000012603,-0.766,0.001,0.014
ENSGACT00000012606,0.263,0.001,0.014
ENSGACT00000012608,0.045,0.460,0.783
ENSGACT00000012612,-0.209,0.001,0.014
ENSGACT00000012618,0.254,0.010,0.097
ENSGACT00000012622,-0.471,0.001,0.014
ENSGACT00000012631,-0.047,0.130,0.465
ENSGACT00000012632,-0.211,0.002,0.043
ENSGACT00000012633,0.191,0.074,0.325
ENSGACT00000012637,-0.090,0.304,0.641
ENSGACT00000012638,-0.079,0.628,0.816
ENSGACT00000012640,0.526,0.001,0.014
ENSGACT00000012641,-0.006,0.920,1.000
ENSGACT00000012645,-0.068,0.288,0.640
ENSGACT00000012650,0.091,0.166,0.511
ENSGACT00000012652,0.220,0.006,0.068
ENSGACT00000012654,-0.390,0.001,0.014
ENSGACT00000012659,0.440,0.001,0.014
ENSGACT00000012660,-0.073,0.312,0.641
ENSGACT00000012662,0.260,0.092,0.343
ENSGACT00000012664,0.040,0.364,0.641
ENSGACT00000012665,0.222,0.001,0.014
ENSGACT00000012666,0.271,0.202,0.545
ENSGACT00000012667,0.125,0.018,0.152
ENSGACT00000012670,0.417,0.001,0.014
ENSGACT00000012672,0.190,0.030,0.183
ENSGACT00000012673,0.412,0.001,0.014
ENSGACT00000012675,0.024,0.412,0.783
ENSGACT00000012677,-0.181,0.001,0.014
ENSGACT00000012679,-0.029,0.462,0.783
ENSGACT00000012683,-0.598,0.001,0.014
ENSGACT00000012685,-0.233,0.014,0.122
ENSGACT00000012690,-0.763,0.001,0.014
ENSGACT00000012693,0.322,0.032,0.191
ENSGACT00000012694,0.031,0.620,0.816
ENSGACT00000012695,0.122,0.252,0.545
ENSGACT00000012698,0.107,0.010,0.097
ENSGACT00000012703,-0.024,0.636,0.816
ENSGACT00000012704,0.172,0.046,0.254
ENSGACT00000012706,-0.382,0.001,0.014
ENSGACT00000012709,0.005,0.964,1.000
ENSGACT00000012710,0.058,0.160,0.511
ENSGACT00000012711,-0.151,0.018,0.152
ENSGACT00000012714,0.202,0.001,0.014
ENSGACT00000012716,0.045,0.538,0.816
ENSGACT00000012719,-0.059,0.670,0.862
ENSGACT00000012722,-0.069,0.100,0.343
ENSGACT00000012723,-0.039,0.600,0.816
ENSGACT00000012727,0.001,0.690,0.862
ENSGACT00000012728,0.407,0.001,0.014
ENSGACT00000012730,-0.093,0.050,0.254
ENSGACT00000012734,0.008,0.932,1.000
ENSGACT00000012739,0.116,0.308,0.641
ENSGACT00000012743,0.407,0.001,0.014
ENSGACT00000012744,0.379,0.002,0.043
ENSGACT00000012746,0.008,0.930,1.000
ENSGACT00000012747,-0.198,0.090,0.343
ENSGACT00000012751,-0.009,0.772,0.947
ENSGACT00000012756,0.189,0.306,0.641
ENSGACT00000012758,-0.157,0.028,0.163
ENSGACT00000012762,0.073,0.088,0.343
ENSGACT00000012767,-0.023,0.744,0.947
ENSGACT00000012770,0.075,0.214,0.545
ENSGACT00000012771,0.022,0.872,1.000
ENSGACT00000012774,0.086,0.552,0.816
ENSGACT00000012775,0.434,0.001,0.014
ENSGACT00000012777,-0.308,0.008,0.068
ENSGACT00000012782,0.179,0.220,0.545
ENSGACT00000012783,0.206,0.044,0.254
ENSGACT00000012789,-0.448,0.001,0.014
ENSGACT00000012791,0.015,0.894,1.000
ENSGACT00000012794,0.072,0.424,0.783
ENSGACT00000012798,1.222,0.001,0.014
ENSGACT00000012799,-0.087,0.680,0.862
ENSGACT00000012800,-0.022,0.662,0.862
ENSGACT00000012802,-0.212,0.001,0.014
ENSGACT00000012803,0.095,0.098,0.343
ENSGACT00000012804,-0.247,0.096,0.343
ENSGACT00000012807,0.158,0.020,0.152
ENSGACT00000012808,0.013,0.938,1.000
ENSGACT00000012811,0.052,0.782,1.000
ENSGACT00000012814,0.344,0.001,0.014
ENSGACT00000012820,0.027,0.658,0.862
ENSGACT00000012821,0.233,0.006,0.068
ENSGACT00000012823,0.096,0.184,0.527
ENSGACT00000012825,0.149,0.148,0.511
ENSGACT00000012828,-0.256,0.001,0.014
ENSGACT00000012830,-0.785,0.001,0.014
ENSGACT00000012831,0.182,0.001,0.014
ENSGACT00000012834,-0.101,0.594,0.816
ENSGACT00000012840,-0.004,0.842,1.000
ENSGACT00000012843,0.151,0.024,0.161
ENSGACT00000012844,0.436,0.001,0.014
ENSGACT00000012846,0.329,0.001,0.014
ENSGACT00000012847,-0.358,0.001,0.014
ENSGACT00000012848,-0.012,0.772,0.947
ENSGACT00000012855,-0.086,0.438,0.783
ENSGACT00000012859,0.700,0.001,0.014
ENSGACT00000012860,0.183,0.130,0.465
ENSGACT00000012861,0.228,0.001,0.014
ENSGACT00000012863,-0.088,0.262,0.545
ENSGACT00000012864,0.076,0.436,0.783
ENSGACT00000012867,-0.116,0.124,0.465
ENSGACT00000012868,0.529,0.008,0.073
ENSGACT00000012873,0.128,0.038,0.208
ENSGACT00000012879,-0.596,0.001,0.014
ENSGACT00000012882,0.099,0.032,0.191
ENSGACT00000012883,0.098,0.400,0.708
ENSGACT00000012885,0.418,0.014,0.122
ENSGACT00000012890,0.555,0.001,0.014
ENSGACT00000012892,0.049,0.524,0.816
ENSGACT00000012893,0.271,0.004,0.068
ENSGACT00000012894,-0.014,0.996,1.000
ENSGACT00000012896,-0.194,0.001,0.014
ENSGACT00000012901,-0.223,0.001,0.014
ENSGACT00000012905,-0.551,0.001,0.014
ENSGACT00000012906,0.022,0.932,1.000
ENSGACT00000012908,-0.014,0.756,0.947
ENSGACT00000012909,-0.008,0.914,1.000
ENSGACT00000012911,-3.093,0.001,0.014
ENSGACT00000012912,-0.026,0.862,1.000
ENSGACT00000012913,-0.026,0.586,0.816
ENSGACT00000012916,-0.041,0.780,1.000
ENSGACT00000012918,-0.120,0.094,0.343
ENSGACT00000012920,-0.103,0.310,0.641
ENSGACT00000012921,0.588,0.001,0.014
ENSGACT00000012922,-0.318,0.004,0.068
ENSGACT00000012924,-0.110,0.160,0.511
ENSGACT00000012926,-0.023,0.544,0.816
ENSGACT00000012927,0.155,0.004,0.068
ENSGACT00000012928,0.575,0.001,0.014
ENSGACT00000012933,0.488,0.001,0.014
ENSGACT00000012934,0.110,0.132,0.465
ENSGACT00000012936,0.001,0.516,0.816
ENSGACT00000012937,-0.016,0.420,0.783
ENSGACT00000012938,-0.141,0.306,0.641
ENSGACT00000012946,0.470,0.001,0.014
ENSGACT00000012952,0.122,0.001,0.014
ENSGACT00000012953,-0.551,0.001,0.014
ENSGACT00000012954,-3.126,0.001,0.014
ENSGACT00000012957,-0.679,0.001,0.014
ENSGACT00000012964,0.007,0.864,1.000
ENSGACT00000012965,0.011,0.894,1.000
ENSGACT00000012968,-0.062,0.084,0.325
ENSGACT00000012969,-0.061,0.346,0.641
ENSGACT00000012973,0.529,0.001,0.014
ENSGACT00000012980,-0.013,0.782,1.000
ENSGACT00000012981,0.363,0.001,0.014
ENSGACT00000012983,0.350,0.001,0.014
ENSGACT00000012984,0.146,0.116,0.465
ENSGACT00000012985,0.061,0.008,0.073
ENSGACT00000012986,0.171,0.001,0.014
ENSGACT00000012988,-0.001,0.888,1.000
ENSGACT00000012992,-0.047,0.844,1.000
ENSGACT00000012993,-0.136,0.008,0.068
ENSGACT00000012994,-0.032,0.948,1.000
ENSGACT00000012995,0.038,0.278,0.554
ENSGACT00000012996,-0.868,0.001,0.014
ENSGACT00000012997,-0.505,0.001,0.014
ENSGACT00000012998,0.036,0.392,0.708
ENSGACT00000013001,0.373,0.001,0.014
ENSGACT00000013008,0.172,0.006,0.068
ENSGACT00000013009,-0.008,0.912,1.000
ENSGACT00000013014,0.184,0.040,0.254
ENSGACT00000013016,0.007,0.876,1.000
ENSGACT00000013022,-0.330,0.001,0.014
ENSGACT00000013023,0.140,0.006,0.068
ENSGACT00000013024,0.021,0.514,0.816
ENSGACT00000013029,0.244,0.016,0.122
ENSGACT00000013030,-0.300,0.001,0.014
ENSGACT00000013031,-0.095,0.018,0.152
ENSGACT00000013032,0.195,0.292,0.640
ENSGACT00000013035,-0.094,0.142,0.503
ENSGACT00000013037,-0.767,0.001,0.014
ENSGACT00000013038,0.056,0.254,0.545
ENSGACT00000013041,-0.240,0.001,0.014
ENSGACT00000013042,-0.282,0.001,0.014
ENSGACT00000013043,0.014,0.916,1.000
ENSGACT00000013044,-0.212,0.014,0.122
ENSGACT00000013047,-1.431,0.001,0.014
ENSGACT00000013049,-0.060,0.272,0.545
ENSGACT00000013051,0.263,0.018,0.152
ENSGACT00000013054,0.089,0.326,0.641
ENSGACT00000013055,-0.126,0.002,0.043
ENSGACT00000013058,-0.845,0.001,0.014
ENSGACT00000013062,-0.037,0.360,0.641
ENSGACT00000013063,-0.120,0.278,0.554
ENSGACT00000013066,-0.049,0.562,0.816
ENSGACT00000013067,-0.044,0.338,0.641
ENSGACT00000013068,-0.024,0.516,0.816
ENSGACT00000013072,-0.461,0.001,0.014
ENSGACT00000013076,0.937,0.001,0.014
ENSGACT00000013077,-0.138,0.034,0.206
ENSGACT00000013079,-0.235,0.001,0.014
ENSGACT00000013080,0.210,0.002,0.043
ENSGACT00000013086,0.442,0.004,0.068
ENSGACT00000013092,0.031,0.852,1.000
ENSGACT00000013094,-0.425,0.001,0.014
ENSGACT00000013097,0.384,0.001,0.014
ENSGACT00000013101,0.001,0.834,1.000
ENSGACT00000013102,0.106,0.222,0.545
ENSGACT00000013105,0.052,0.294,0.640
ENSGACT00000013109,0.031,0.660,0.862
ENSGACT00000013112,0.066,0.038,0.208
ENSGACT00000013114,0.097,0.010,0.097
ENSGACT00000013121,0.121,0.208,0.545
ENSGACT00000013122,0.052,0.436,0.783
ENSGACT00000013124,0.257,0.001,0.014
ENSGACT00000013126,0.270,0.018,0.152
ENSGACT00000013127,0.115,0.008,0.073
ENSGACT00000013132,0.759,0.001,0.014
ENSGACT00000013134,-0.781,0.001,0.014
ENSGACT00000013135,0.050,0.520,0.816
ENSGACT00000013140,-0.058,0.390,0.708
ENSGACT00000013142,0.217,0.006,0.068
ENSGACT00000013148,0.042,0.536,0.816
ENSGACT00000013149,-0.141,0.038,0.208
ENSGACT00000013150,0.069,0.250,0.545
ENSGACT00000013151,0.011,0.474,0.783
ENSGACT00000013154,-0.002,0.816,1.000
ENSGACT00000013159,-0.176,0.001,0.014
ENSGACT00000013162,-1.070,0.001,0.014
ENSGACT00000013163,-0.198,0.060,0.266
ENSGACT00000013164,0.459,0.001,0.014
ENSGACT00000013166,0.050,0.202,0.545
ENSGACT00000013170,-0.127,0.002,0.043
ENSGACT00000013173,0.090,0.526,0.816
ENSGACT00000013174,0.016,0.932,1.000
ENSGACT00000013176,-0.039,0.524,0.816
ENSGACT00000013177,0.063,0.280,0.554
ENSGACT00000013180,-0.181,0.004,0.068
ENSGACT00000013181,-0.179,0.024,0.161
ENSGACT00000013182,-0.235,0.004,0.068
ENSGACT00000013184,0.013,0.850,1.000
ENSGACT00000013190,-0.070,0.470,0.783
ENSGACT00000013191,-0.128,0.132,0.465
ENSGACT00000013192,0.546,0.001,0.014
ENSGACT00000013194,-0.052,0.470,0.783
ENSGACT00000013198,-0.063,0.306,0.641
ENSGACT00000013200,0.214,0.014,0.122
ENSGACT00000013201,-0.074,0.360,0.641
ENSGACT00000013202,-0.105,0.002,0.043
ENSGACT00000013203,-0.004,0.816,1.000
ENSGACT00000013212,0.083,0.372,0.708
ENSGACT00000013213,0.021,0.840,1.000
ENSGACT00000013214,-0.509,0.001,0.014
ENSGACT00000013215,-0.059,0.250,0.545
ENSGACT00000013216,0.167,0.084,0.325
ENSGACT00000013219,0.169,0.006,0.068
ENSGACT00000013221,0.012,0.660,0.862
ENSGACT00000013223,0.178,0.012,0.102
ENSGACT00000013226,0.193,0.020,0.152
ENSGACT00000013227,-0.029,0.550,0.816
ENSGACT00000013228,-0.079,0.282,0.554
ENSGACT00000013230,-0.092,0.122,0.465
ENSGACT00000013231,0.200,0.038,0.208
ENSGACT00000013236,0.018,0.474,0.783
ENSGACT00000013237,0.345,0.001,0.014
ENSGACT00000013240,-0.011,0.484,0.783
ENSGACT00000013243,0.084,0.094,0.343
ENSGACT00000013247,0.015,0.826,1.000
ENSGACT00000013249,-0.005,0.700,0.862
ENSGACT00000013250,0.370,0.001,0.014
ENSGACT00000013251,0.019,0.718,0.883
ENSGACT00000013252,0.625,0.001,0.014
ENSGACT00000013253,-0.688,0.001,0.014
ENSGACT00000013258,0.094,0.172,0.511
ENSGACT00000013269,-0.029,0.496,0.816
ENSGACT00000013270,-0.872,0.001,0.014
ENSGACT00000013271,-0.017,0.636,0.816
ENSGACT00000013273,-0.077,0.336,0.641
ENSGACT00000013274,-0.132,0.244,0.545
ENSGACT00000013276,0.164,0.016,0.122
ENSGACT00000013280,-0.011,0.830,1.000
ENSGACT00000013285,1.170,0.001,0.014
ENSGACT00000013286,0.080,0.530,0.816
ENSGACT00000013291,-0.256,0.012,0.102
ENSGACT00000013294,-0.360,0.001,0.014
ENSGACT00000013298,0.250,0.010,0.097
ENSGACT00000013300,0.140,0.001,0.014
ENSGACT00000013304,0.079,0.158,0.511
ENSGACT00000013305,-0.553,0.001,0.014
ENSGACT00000013306,0.528,0.001,0.014
ENSGACT00000013307,0.022,0.708,0.883
ENSGACT00000013310,0.044,0.584,0.816
ENSGACT00000013311,-0.152,0.170,0.511
ENSGACT00000013314,-0.694,0.001,0.014
ENSGACT00000013320,-0.393,0.001,0.014
ENSGACT00000013321,0.337,0.001,0.014
ENSGACT00000013323,0.136,0.240,0.545
ENSGACT00000013325,-0.635,0.001,0.014
ENSGACT00000013330,0.148,0.001,0.014
ENSGACT00000013332,0.046,0.330,0.641
ENSGACT00000013333,-0.424,0.001,0.014
ENSGACT00000013334,0.048,0.574,0.816
ENSGACT00000013335,-0.140,0.008,0.068
ENSGACT00000013336,-0.062,0.298,0.641
ENSGACT00000013338,0.116,0.014,0.122
ENSGACT00000013342,-0.099,0.006,0.068
ENSGACT00000013344,0.191,0.006,0.068
ENSGACT00000013346,-0.687,0.001,0.014
ENSGACT00000013349,0.161,0.001,0.014
ENSGACT00000013352,0.086,0.266,0.545
ENSGACT00000013358,0.434,0.001,0.014
ENSGACT00000013359,0.095,0.700,0.862
ENSGACT00000013360,-0.120,0.062,0.266
ENSGACT00000013361,-0.146,0.074,0.320
ENSGACT00000013366,-0.020,0.908,1.000
ENSGACT00000013368,-0.325,0.001,0.014
ENSGACT00000013369,0.077,0.164,0.511
ENSGACT00000013375,0.166,0.004,0.068
ENSGACT00000013376,-0.054,0.376,0.708
ENSGACT00000013378,0.074,0.288,0.640
ENSGACT00000013381,0.161,0.032,0.191
ENSGACT00000013384,-0.056,0.202,0.545
ENSGACT00000013387,-0.045,0.674,0.862
ENSGACT00000013388,-0.068,0.384,0.708
ENSGACT00000013393,0.046,0.764,0.947
ENSGACT00000013394,-0.030,0.584,0.816
ENSGACT00000013395,0.142,0.052,0.266
ENSGACT00000013396,0.062,0.476,0.783
ENSGACT00000013398,0.215,0.001,0.014
ENSGACT00000013400,0.102,0.034,0.206
ENSGACT00000013403,0.581,0.001,0.014
ENSGACT00000013406,-0.032,0.822,1.000
ENSGACT00000013409,0.101,0.380,0.708
ENSGACT00000013411,0.532,0.001,0.014
ENSGACT00000013413,-0.027,0.662,0.862
ENSGACT00000013415,-0.060,0.062,0.266
ENSGACT00000013416,0.076,0.384,0.708
ENSGACT00000013417,1.584,0.001,0.014
ENSGACT00000013418,-0.403,0.001,0.014
ENSGACT00000013422,0.392,0.001,0.014
ENSGACT00000013424,-0.077,0.234,0.545
ENSGACT00000013427,-0.013,0.732,0.883
ENSGACT00000013428,0.172,0.080,0.325
ENSGACT00000013435,-0.300,0.001,0.014
ENSGACT00000013441,0.039,0.388,0.708
ENSGACT00000013444,0.036,0.790,1.000
ENSGACT00000013445,0.264,0.001,0.014
ENSGACT00000013448,0.321,0.004,0.068
ENSGACT00000013450,-0.118,0.330,0.641
ENSGACT00000013458,-0.070,0.382,0.708
ENSGACT00000013461,0.090,0.046,0.254
ENSGACT00000013463,-0.668,0.001,0.014
ENSGACT00000013465,0.139,0.250,0.545
ENSGACT00000013468,0.682,0.001,0.014
ENSGACT00000013472,0.179,0.138,0.503
ENSGACT00000013475,-0.552,0.001,0.014
ENSGACT00000013477,0.200,0.002,0.043
ENSGACT00000013479,0.515,0.001,0.014
ENSGACT00000013480,-0.038,0.758,0.947
ENSGACT00000013486,0.019,1.000,1.000
ENSGACT00000013487,-0.457,0.001,0.014
ENSGACT00000013491,0.047,0.310,0.641
ENSGACT00000013494,-0.005,0.996,1.000
ENSGACT00000013495,-0.649,0.001,0.014
ENSGACT00000013496,-0.044,0.458,0.783
ENSGACT00000013501,0.041,0.330,0.641
ENSGACT00000013502,0.070,0.352,0.641
ENSGACT00000013506,0.035,0.626,0.816
ENSGACT00000013510,0.047,0.550,0.816
ENSGACT00000013513,0.073,0.376,0.708
ENSGACT00000013514,-0.007,1.000,1.000
ENSGACT00000013516,0.104,0.348,0.641
ENSGACT00000013517,-0.780,0.001,0.014
ENSGACT00000013518,0.285,0.060,0.266
ENSGACT00000013519,0.429,0.001,0.014
ENSGACT00000013522,0.201,0.001,0.014
ENSGACT00000013525,-0.367,0.001,0.014
ENSGACT00000013529,0.710,0.001,0.014
ENSGACT00000013540,0.115,0.606,0.816
ENSGACT00000013545,0.104,0.066,0.271
ENSGACT00000013549,-0.096,0.582,0.816
ENSGACT00000013550,0.090,0.566,0.816
ENSGACT00000013551,-0.071,0.198,0.545
ENSGACT00000013552,-0.892,0.001,0.014
ENSGACT00000013556,0.115,0.152,0.511
ENSGACT00000013560,0.119,0.292,0.640
ENSGACT00000013563,0.038,0.442,0.783
ENSGACT00000013566,-0.039,0.690,0.862
ENSGACT00000013569,0.019,0.600,0.816
ENSGACT00000013578,0.169,0.090,0.343
ENSGACT00000013584,0.134,0.048,0.254
ENSGACT00000013588,-0.237,0.001,0.014
ENSGACT00000013591,-0.122,0.032,0.191
ENSGACT00000013593,0.027,0.778,1.000
ENSGACT00000013595,0.423,0.001,0.014
ENSGACT00000013597,0.015,0.560,0.816
ENSGACT00000013598,-0.087,0.266,0.545
ENSGACT00000013599,0.180,0.034,0.206
ENSGACT00000013600,0.304,0.002,0.043
ENSGACT00000013601,-0.053,0.180,0.527
ENSGACT00000013603,0.452,0.001,0.014
ENSGACT00000013604,0.179,0.118,0.465
ENSGACT00000013605,0.102,0.038,0.208
ENSGACT00000013606,0.100,0.100,0.343
ENSGACT00000013610,0.081,0.200,0.545
ENSGACT00000013612,0.282,0.001,0.014
ENSGACT00000013616,0.162,0.002,0.043
