id egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight
GC7 NA NA NA NA M 4.5 0.9 0.391
GC9 NA NA NA NA M 6.3 1.6 0.309
GC10 NA NA NA NA M 6.5 1.4 0.869
GC15 NA NA NA NA M 7.6 1.425 1.059
GC16 NA NA NA NA M 5.15 1.325 0.615
GC19 NA NA NA NA M 5.5 1.3 0.73
GC21 NA NA NA NA M 5.55 1.35 0.718
GC24 NA NA NA NA M 5.9 1.35 0.77
GC31 NA NA NA NA M 7.15 1.35 0.767
GC32 NA NA NA NA M 5 1.35 0.797
GC36 NA NA NA NA M 5.75 1.3 1.005
GC38 NA NA NA NA M 7.5 1.75 1.238
LN1 NA NA NA NA M 5.5 1.4 0.783
LN2 NA NA NA NA M 4.4 1.25 0.539
LN3 NA NA NA NA M 7.2 1.45 0.785
LN4 NA NA NA NA M 7.85 1.55 1.225
LN5 NA NA NA NA M 6.85 1.35 1.183
LN6 NA NA NA NA M 6.3 0.975 0.425
LN7 NA NA NA NA M 6.25 1.15 0.623
LN8 NA NA NA NA M 6.05 1 0.414
LN9 NA NA NA NA M 6.5 1.1 0.797
LN11 NA NA NA NA M 6.55 1.15 0.873
LN12 NA NA NA NA M 6.9 1.3 0.752
LN14 NA NA NA NA M 5.85 1.4 0.786
LN15 NA NA NA NA M 6.6 1.6 0.911
LN16 NA NA NA NA M 5.05 1.45 1.123
LN17 NA NA NA NA M 6.35 1.55 1.068
LN18 NA NA NA NA M 6.7 1.3 0.802
LN19 NA NA NA NA M 6.7 1.3 0.933
LN20 NA NA NA NA M 5.5 1.4 0.781
LN21 NA NA NA NA M 5.25 1.35 0.873
LN22 NA NA NA NA M 6 1.05 0.577
LN23 NA NA NA NA M 5.4 1.025 0.465
LN24 NA NA NA NA M 6.4 1.3 0.948
LN25 NA NA NA NA M 6.5 1.075 0.697
MH16 NA NA NA NA M 4.4 0.9 0.47
MH20 NA NA NA NA M 4.5 0.85 0.52
MH21 NA NA NA NA M 5.35 1.15 0.834
MH22 NA NA NA NA M 3.65 0.8 0.395
MH29 NA NA NA NA M 4.6 1.2 0.781
RT20 NA NA NA NA M 5 1.4 0.857
RT21 NA NA NA NA M 4.6 1.1 0.67
RT22 NA NA NA NA M 4.5 1 0.577
RT23 NA NA NA NA M 6 1.15 0.686
RT42 NA NA NA NA M 5 1.35 0.544
RT43 NA NA NA NA M 4.45 1.2 0.529
RT49 NA NA NA NA M 3.95 1.2 0.492
RT60 NA NA NA NA M 5.05 1 0.664
SF2 NA NA NA NA M 5.25 1.3 0.578
SF3 NA NA NA NA M 5.9 1.125 0.667
SF7 NA NA NA NA M 3.6 1.3 0.47
SF12 NA NA NA NA M 6.2 1.25 1.217
SF23 NA NA NA NA M 4.3 1.3 0.526
SF24 NA NA NA NA M 5.95 1.3 0.697
SF25 NA NA NA NA M 4.6 1.3 0.616
SF29 NA NA NA NA M 5.65 1.25 0.622
SF58 NA NA NA NA M 5.35 1.5 0.849
SH2 NA NA NA NA M 5.1 1.25 0.462
SH18 NA NA NA NA M 7.25 1.55 0.883
SH20 NA NA NA NA M 6.25 1.5 0.88
SK1 NA NA NA NA M 7.75 1.4 1.257
SK8 NA NA NA NA M 5.9 1.475 1
SK10 NA NA NA NA M 6.8 1.1 0.846
SR18 NA NA NA NA M 3.65 1.025 0.588
SR25 NA NA NA NA M 4 1.05 0.484
SR51 NA NA NA NA M 4.3 1.025 0.393
SR80 NA NA NA NA M 4.8 1 0.561
SR92 NA NA NA NA M 4.4 1.25 0.575
SR114 NA NA NA NA M 5.6 1.4 0.583
SR120 NA NA NA NA M 4.35 1.05 0.38
SR137 NA NA NA NA M 3.6 1.15 0.652
