chr pos ies_wht ies_cmn ies_cbr
1 335926 35000.3678723707 35720.0235644671 38098.8437946523
1 347431 25278.8572540681 23898.0365312274 23056.3680780322
1 351125 25991.659872372 21971.0842484473 25121.7725902946
1 351154 13318.0662418454 11670.7252713331 13473.9087577315
1 351190 22338.4104026794 18891.4580650015 22711.07086836
1 351217 13335.9999966858 14210.0372487472 14272.400440197
1 351266 22137.7199634408 26833.0003645195 18676.5282233423
1 351393 28856.1481747473 33313.2252796952 33790.3294225944
1 351416 54842.5503557832 57165.9017071845 48915.8894282666
1 352727 61060.0751224642 61857.0643346304 56976.7701509836
1 389516 67950.7793045196 65549.4299565087 58364.7716922959
1 403309 94604.6250735556 96581.0945924235 76464.6716831883
1 403310 94604.6250735556 96581.0945924235 76464.6716831883
1 403363 92913.8004045033 97292.365958813 77327.1563855456
1 403499 86769.1779314678 95051.9267131887 79028.9343204747
1 403531 90369.4318981992 97309.9284698109 82141.8180973748
1 417044 136550.378357048 136355.488366065 127426.290877083
1 436509 145151.824703511 133432.989976332 126594.329339343
1 489076 160518.646712571 166802.960030454 149983.805861568
1 520071 207041.873068515 201103.740054683 195745.587616308
1 643143 162708.14816863 167016.65902732 145678.107992116
1 653384 133720.123827113 127200.868910412 119033.318828414
1 653410 118154.620810405 118120.88260095 89411.7189358496
1 653431 105073.604639161 114675.474919278 97116.0649600725
1 678192 121452.713119762 125949.80411225 103304.779880619
1 693403 101003.10173062 102560.121770957 86829.8834060941
1 697712 65377.0952644756 73943.3717023467 60269.2873420779
1 741583 81427.004357929 85505.7963628812 79264.9710479839
1 756659 58800.7035416839 58040.2847932572 56703.9544847924
1 756663 57686.7970025461 57014.1715109944 56160.1088833969
1 756671 56470.5430529835 56741.3538366113 55799.2713236338
1 778185 40341.0446839552 44478.8517265721 43666.9680654447
1 778227 32165.8251336729 36512.4871363606 34614.704379605
1 778241 36832.261903138 36588.8531272832 34509.0887067057
1 780956 48813.1052686675 41219.4074638078 41449.1832874649
1 780980 50101.4300157525 49621.3966843993 54542.1342303843
1 835028 59072.6059654896 56032.1267412771 53483.6868899797
1 835365 54063.9981746521 45414.3426789608 51581.3507701912
1 836756 43375.4494927843 37286.3456789937 43849.497553377
1 839851 33300.3902248232 27494.8214044503 32402.3634119351
1 839876 40151.0059554762 33588.8299491749 38019.4773094101
1 839897 35978.3162807762 32146.644936441 37319.0220331469
1 839950 38137.5323942855 35288.5153318327 37758.3180656554
1 839979 34251.7615314857 34451.7424847061 36090.1729965534
1 839981 34251.7615314857 34451.7424847061 36090.1729965534
1 868293 43830.8175963469 36625.0600976609 42147.3941877695
1 868294 43830.8175963469 36625.0600976609 42147.3941877695
1 872737 26007.916267962 26076.037696839 24674.2963354499
1 874017 21005.2765100771 21650.189242677 20521.759895502
1 882156 22543.1182089416 20144.7364180752 22759.547407845
1 882168 18933.7986749311 16382.2885071731 18441.8588175058
1 882220 12714.3856487641 12329.4856572364 13117.6826216041
1 883255 11446.4188737865 11117.9056997109 10895.6997102814
1 883296 13984.9089742062 14250.9742389105 14430.4216470465
1 883347 24886.5833186343 26164.5928039381 23435.3958100453
1 903150 31459.4455822865 35323.2864703855 31910.2369076537
1 903169 38871.0597364115 40457.9117670498 35126.1439035661
1 909039 42999.9608528441 39151.0344898883 34560.0247113419
1 909538 79161.4675356856 78113.2130669718 68838.5804377701
1 909569 81893.2932786971 81854.5105508428 79053.2615755184
1 909577 81893.2932786971 81854.5105508428 79053.2615755184
1 962839 106158.049136681 99664.5961960164 113749.242252892
1 963245 93975.424514529 100500.408585413 101984.712745065
1 988900 119702.607454171 112738.845972037 111419.65257035
1 1070022 132769.107306314 132540.151345919 139222.6803498
1 1092181 96516.7866577016 96491.0532802936 96037.2105455696
1 1110619 69736.1757309295 67165.3965232345 68093.4853185257
1 1123791 73783.9991604967 68986.0040985112 67221.8964140931
1 1142818 52943.8409375613 46842.6669451848 44340.8758664966
1 1142923 46939.9764993327 34110.5790253348 40479.9496974348
1 1142975 27078.133325666 20222.3831135331 28680.4770910814
1 1146328 25931.8862008768 20633.5581239501 28164.875123154
1 1146335 22904.8381413422 16618.8666522806 23490.3971019543
1 1146373 19790.2336373416 13639.7192477431 18744.6005344788
1 1150251 20103.8184905491 14649.5931797414 20497.8004088039
1 1151101 25476.911866077 17899.3090948851 19644.7968437584
1 1152287 41043.5609311093 27580.6857881643 25199.8930048057
1 1172098 35351.5462760516 23742.2073827673 25786.2197137277
1 1173071 38943.0778668434 32949.4314629176 18460.2992894288
1 1173072 38943.0778668434 32949.4314629176 18460.2992894288
1 1173077 38943.0778668434 32949.4314629176 18460.2992894288
1 1173249 34905.4690654684 24382.7741348506 15881.8333247575
1 1173267 35704.9213854992 23424.5986580764 27065.4999271113
1 1176846 46687.0856576669 34438.2016685543 30467.4479096323
1 1176912 44469.8491699853 36340.4276293389 32003.0776271827
1 1185838 68006.8381277708 51421.56253644 48546.5072320751
1 1190206 63146.7310916532 65969.5395158461 59377.8496237193
1 1216316 78185.5042616297 66713.6325687278 70676.6799172958
1 1216338 76265.523509194 69082.302636257 71227.9774897344
1 1220940 109437.612813868 106057.693559177 105686.336807649
1 1285582 88169.3096364931 85490.0587250194 86262.5134250702
1 1316021 80541.1801602465 75818.1825733781 80525.8231619377
1 1316056 72819.3933339608 66781.5891439334 70400.6206372413
1 1316057 58248.2778446429 53029.8014827656 55197.2730970508
1 1316061 69241.8631339893 66240.0466612728 70269.9768707303
1 1316446 54595.6856916327 48016.7374142772 51072.1816150472
1 1316551 45970.7440279784 39854.4894578631 47700.885645261
1 1316564 56925.1228449872 54447.3190421393 57398.8090333375
1 1321408 49060.1281426765 43337.4839173695 51348.4694590208
1 1329187 44018.2157637866 39218.5949796523 39539.8471274561
1 1329343 39091.0846768092 39281.0289124327 38884.2496160503
1 1340224 54516.6092203262 53665.3461228517 58118.3953691315
1 1340231 36378.7261101484 33868.8913056888 36485.4287716642
1 1340233 60428.739646215 62355.3140923473 68516.1410112057
1 1368921 54515.1319222513 59075.2829389454 57661.6673340411
1 1378104 54510.2001825535 58039.7518219534 66481.9263410577
1 1378142 60207.6708831424 58547.7730638087 62693.5754730328
1 1381492 58257.7886392182 63021.8297921389 64791.7486042073
1 1420274 55284.1522951347 57948.3953036053 61658.5403514987
1 1420302 61118.9182673897 59384.0152277182 68134.9750892909
1 1423674 51132.3668870725 53871.9537065561 61908.5895521399
1 1423679 50822.0541717426 53511.1772079862 62135.37460119
1 1427427 38419.4445215636 39707.9474355547 48600.2410721543
1 1441558 40237.3572427892 40159.4616162546 48610.4810991344
1 1441566 39583.9747375667 40159.4616162546 49572.4689421344
1 1441596 46017.8969939783 43693.5847299074 52318.2734884705
1 1441610 46821.9645441768 48641.0848896448 52165.6485487199
1 1469475 44637.3464681422 45416.8406455224 53780.8528364711
1 1470271 49036.5441675613 47687.5586257637 56693.1617813948
1 1496143 34514.4739162213 32643.4878174024 36836.902612012
1 1496190 28307.1611178968 30151.1178137052 35991.0578374392
1 1496194 27974.7703923233 29730.0158307827 36021.377868334
1 1496240 26340.4147652212 27267.2494023896 33117.2380579272
1 1496249 11445.4421291942 13967.9469744786 13833.1167639727
1 1496250 14612.2405432915 20244.9739024799 25927.7187211902
1 1496362 8160.82652922154 14732.7553121759 20755.1536953682
1 1496364 9262.83550475677 11608.337744093 21356.0753767626
1 1496369 9262.83550475677 11608.337744093 21356.0753767626
1 1496379 8400.31400610806 15000.5572718738 20048.9301110265
1 1496403 10883.2467378397 14523.3046418101 22003.9696170859
1 1496774 16955.7977383107 18460.8579490259 23265.0856626382
1 1501219 17648.5052060204 17208.6813223088 18163.3750844765
1 1502980 23160.3155811329 21715.1974459507 23522.0811031071
1 1514383 23237.1921146093 23677.6803312767 21705.1247433223
1 1514401 23018.6829752958 21458.9385053048 23483.5346698826
1 1531584 27787.5040721525 28574.2507911603 24362.7251452463
1 1531586 26685.7031536448 28270.9453035009 24456.1118181322
1 1531632 19152.4969777283 18469.2621320533 16882.6804321666
1 1531633 29210.7707327725 30109.9747474248 27441.3388731856
1 1543811 43664.5421154923 41401.6686800516 35179.5433540371
1 1543885 63722.0349201609 51764.3750281774 45804.038791543
1 1544044 71194.4111579238 71036.3443016215 70268.5665653051
1 1594213 118658.753964196 110671.504822163 112054.626285346
1 1637403 93957.3828658303 93606.5588739422 88923.6047315788
1 1676836 93016.9819488167 88388.447799774 89991.2324371076
1 1677045 72732.5851950039 69644.3787785284 70649.6763108112
1 1687241 74981.3384593539 73993.0837632451 63719.3781896583
1 1687350 74384.4028970904 74179.9848653617 68542.6022713186
1 1687683 70618.167598253 72845.3971665859 70828.9543740263
1 1757125 80559.4895191775 81973.0660259729 76853.7153650325
1 1771928 46783.8758669724 48514.4969038525 47191.3886792401
1 1772004 30644.384710751 31665.7648974175 29967.0929418916
1 1772116 23507.1585986764 24981.7752015831 22269.7876344681
1 1772220 39098.2864418315 40785.1465919601 37154.744028385
1 1785736 31678.2609383392 32030.3015267331 28073.1432848847
1 1785757 31941.9122253017 30998.2293989177 24282.3551592607
1 1785777 29679.0374641311 29128.3077195908 26043.4271004969
1 1798734 36730.598778714 33371.142249418 26402.640175996
1 1803742 30681.8128057129 28903.5645310686 24889.1909274744
1 1803787 33403.9809278418 31248.0468869198 27105.2104042764
1 1803789 33403.9809278418 31248.0468869198 27105.2104042764
1 1803836 29366.99402229 25575.592155649 24492.6181507476
1 1807739 29630.5702933592 24941.7999873053 23693.6682060683
1 1807834 31275.7137431353 31484.9977420777 27818.5289135812
1 1808481 35985.8171243772 32290.3452486628 31682.189350352
1 1808832 37590.8749384516 36109.5834868351 31415.1391635229
1 1827470 34453.7523658551 32167.7612805831 33532.2336188881
1 1827611 36806.4383283453 34697.6703982246 35083.1355812599
1 1844131 38102.4777147148 38118.7840981422 35226.5253227039
1 1849867 26526.0421475152 26835.4581226208 28170.8652281938
1 1853140 16636.5177143804 17312.4534343566 18836.0499810738
1 1853514 19980.2249952705 21424.156792809 22449.0650744149
1 1862441 18242.5465825053 20616.0176708913 23992.6741093837
1 1862444 18431.92879704 20616.0176708913 23992.6741093837
1 1862453 20154.1178927903 20065.7190026213 22615.4585343259
1 1873697 27941.5402758586 30272.3341683659 30519.1662141608
1 1873701 24438.629543473 26861.4186184428 25457.8538605792
1 1883254 35279.6431403915 37098.9111047915 36204.1495247411
1 1883313 38027.2577404618 38180.2905250927 35413.0456041761
1 1896339 32159.5281014386 35252.9650255271 37173.3630161575
1 1896688 44295.2576058769 45970.6617578457 41821.1813492292
1 1896690 40768.6081203225 45070.840206034 38613.0645225121
1 1906880 44706.2396911106 47286.626687797 48018.094624112
1 1910864 61370.6040538672 63095.4452787886 58418.3960832454
1 1959291 48166.7010694681 52944.0316018615 51864.3982943509
1 1959638 43089.099694163 48768.617960999 49141.9925937046
1 1959646 42072.2092923915 47109.6750361771 47107.6862528468
1 1959648 42072.2092923915 47052.3081168172 47107.6862528468
1 1959666 39559.3836429754 46221.3037778988 46176.090437261
1 1977768 43799.7876260269 47630.4051198621 49557.1566994244
1 1977796 28831.562795669 32185.4817877733 32483.2694251347
1 1977801 55863.1262008663 54980.1270585806 58468.1139905101
1 1978993 87058.7097581349 72912.8848399502 86843.9913981174
1 1985630 89872.2881011194 81230.4636895296 86005.3613118153
1 1985673 109364.274880018 100244.438297123 116170.685461684
1 2061846 116449.443121532 111191.163506692 111529.382850587
1 2062316 112958.403611023 100197.95089669 111286.488138107
1 2090262 105235.20136177 99726.7530768552 108146.99197055
1 2100934 111956.055682861 103932.414009061 113803.254008219
1 2101318 95716.259300405 82194.757753218 94013.3287356218
1 2138792 107962.93367026 91284.1460708603 105858.876580261
1 2145155 83555.7704015457 73886.5621027496 90137.817129804
1 2154089 55317.2679571384 55492.3558653258 68347.9667407521
1 2156620 61175.8677072395 57645.4183402798 66818.4458185676
1 2156646 81439.9880405599 80227.2903384138 85535.3151081833
1 2182962 79647.3478851375 77154.2561876877 85819.1917135544
1 2220949 70353.1628737929 74410.2484193566 79617.3108941865
1 2220960 64928.5135194315 68076.1327899066 73160.4945908444
1 2227253 63456.9363204138 68558.2005170268 72989.6246988325
1 2227256 63456.9363204138 68558.2005170268 72989.6246988325
1 2241812 52684.9146283387 58930.9384516249 64129.9636831818
1 2241856 59019.0137370704 58588.3551941442 67327.1040407607
1 2241929 40630.1674968857 44352.1507642882 54045.4810132878
1 2245298 50025.7370003091 52327.3285801409 53339.0790277222
1 2268830 51552.8092828634 59205.5791676621 63351.704562492
1 2276553 49566.1785977444 59246.2438901172 57680.1104449772
1 2276660 70387.1167810498 74472.4218790899 66316.0175635366
1 2299227 63827.2044853401 70882.0892273243 65752.7130150503
1 2342109 77104.1507886047 89097.3456440432 80475.1212719018
1 2342140 55452.5753116321 61402.1805530308 43242.5804171789
1 2342141 56164.8182908626 60009.2112306769 43242.5804171789
1 2342169 62202.8083254709 74089.8762619445 73750.8835271686
1 2342178 62967.8390663538 73134.9705693466 73285.492491111
1 2342301 66932.8566883795 72613.3865236295 67344.2092595467
1 2342336 65160.1971246856 72355.3119007652 67370.9958909201
1 2343581 80330.2701261149 88050.3138520785 80609.0425282166
1 2381704 64805.4662617518 75761.2919147664 65494.8675520132
1 2394690 71273.9746883855 73212.2393965308 68302.2556324265
1 2413163 57236.1905406239 68093.2227075469 55750.5910280674
1 2413311 60221.9059449327 70184.2193176307 60499.1980598408
1 2413730 35987.2276336404 42823.6906070432 35581.6335014509
1 2413734 53382.9598812901 60763.5280416442 53683.106647462
1 2446137 37671.177499192 40626.6919257141 39734.2654578067
1 2446173 33959.9275238557 40483.3131867065 33326.5632764336
1 2446336 43137.2573263092 47130.1149903703 42064.732158182
1 2466330 28152.4909836575 31715.3257516356 25847.4185185233
1 2466337 28001.9604117788 31781.5669814321 30888.9757040079
1 2467265 30307.3184470889 33223.400328963 30841.1503253673
1 2484232 24409.7267723935 27980.0686654554 26864.5752628112
1 2484485 22729.6701075365 25427.2017340712 23489.8841101624
1 2484515 22326.6116884616 26568.0700845361 25277.2703035916
1 2484659 24956.6212926411 28241.39082745 27285.666647679
1 2485154 31349.3757130559 30823.9146329483 30812.2610011202
1 2485180 35825.0834608981 33881.2371148199 33955.5199139025
1 2485187 35825.0834608981 33881.2371148199 34569.0426163726
1 2485203 35825.0834608981 33881.2371148199 35027.8143662095
1 2507276 40651.2637114184 43413.4061408898 41985.8059198657
1 2533303 32341.4809596644 32962.3472044293 32993.5353220003
1 2533728 21379.0627139836 23704.8205285387 23054.0748522131
1 2534158 12099.0232439508 13960.66958762 13002.8986612173
1 2534542 11774.1827099295 12566.7475742167 11891.0903349713
1 2534608 12768.2244518408 13904.587846822 12943.9518637464
1 2535103 13788.0012378203 14275.6360222458 12419.6852397693
1 2535158 18860.8184996658 19398.8179481856 18878.7045759015
1 2545669 20792.195249626 20246.4112326798 20532.9732845474
1 2551822 21396.7498231691 20405.1168131616 21534.9766321225
1 2558391 21683.4616245037 19896.2328502741 20926.3307633046
1 2558404 19624.7708266985 17817.0617956023 17832.672680404
1 2558466 24743.3399171884 20756.5897619574 22172.0291893909
1 2558475 22600.0860625025 18195.6037259354 19510.6770315896
1 2558525 19420.8196333863 17295.856313962 17211.2662385246
1 2558644 36062.8002150718 29450.1916405346 31707.3178093036
1 2564628 47267.0997470017 38444.7195424775 42455.257485356
1 2564801 76495.814108955 67624.1116953763 69177.3774627743
1 2564805 76495.814108955 68045.5478177752 70022.5599527195
1 2564807 76495.814108955 68769.7853188993 70022.5599527195
1 2641361 64665.8673900878 61345.6333173435 61410.2465376132
1 2641388 61723.3129692537 59881.4117643425 58800.8863098448
1 2646240 57526.0284508639 46468.6863158335 45329.3120023681
1 2646455 39500.1992145398 34135.1833117504 34576.9893832526
1 2651252 40904.0232197664 34590.7520659152 36137.8427731983
1 2673583 31199.6741300498 27120.3053193665 29641.3077680199
1 2673666 26931.7179521489 26407.7183611838 28963.0823173803
1 2673718 19076.7575446181 18813.8602813973 22129.2598151675
1 2675793 23932.8738344359 24854.9323475743 28162.2099366358
1 2683082 30169.4037484479 31424.0752121402 31497.4919011563
1 2702819 25105.272089576 25951.1162583806 28669.15827271
1 2702905 23937.4983066811 24943.0740209414 27407.6542386057
1 2714299 21867.2199520239 22259.2468729283 24769.4807582021
1 2722570 12454.5651110545 12586.1367224669 13443.4405725715
1 2722841 10525.8973786951 10058.0035048093 12035.2282371146
1 2722886 5680.18161203575 5354.89201790229 5863.20391998429
1 2723273 5085.49135295422 4823.48039938724 6521.31199934263
1 2723484 3521.27662001986 2838.97092645131 3309.19803416495
1 2723501 3568.5002940702 2648.2591238012 2488.57987811868
1 2723619 5415.67807710284 5466.71137883679 5641.28285526913
1 2723658 4864.85669461084 4023.6336880506 4061.12595847145
1 2723760 5053.2622600889 4823.80705190971 4899.7693887414
1 2723774 6061.79399582197 5811.59774383316 5806.43109785691
1 2724578 7171.44747514563 7976.48116425548 8898.7073756657
1 2725015 12856.075855948 14395.9512227542 14392.1739838884
1 2725053 22781.2259689482 25176.9815263967 26207.873605232
1 2725054 22781.2259689482 25176.9815263967 26207.873605232
1 2745722 21970.5072844998 23039.0397818268 24423.6902850791
1 2746017 25439.1538887016 26279.793567362 27161.0368251874
1 2747733 20895.2646648993 22070.2046327413 23996.0669573148
1 2748025 23965.8652126877 26555.1651585855 27479.6912000924
1 2752054 40856.9460468892 41453.9779841702 43139.2339166012
1 2786661 39907.7627039996 41201.4033893817 42240.704213882
1 2796498 33421.1574470446 32272.4753011307 36687.3515627628
1 2796521 30677.7618512847 29025.5746935316 31765.1968210972
1 2816736 24080.1622635891 23332.0755881178 26147.0067062907
1 2816737 24080.1622635891 23332.0755881178 26147.0067062907
1 2816950 21000.440028325 19540.3784365716 23457.7320286912
1 2816951 21000.440028325 19540.3784365716 23457.7320286912
1 2816964 21656.8631310419 21642.1314546528 23820.592770966
1 2817781 17242.3889240902 17498.1747322164 18133.8159737545
1 2817893 17312.467152985 19470.9473127436 20093.1561382409
1 2817968 34443.9591763915 37579.8604037702 38582.9906417246
1 2832552 41640.1034308734 42587.7250836972 42264.4518977819
1 2867908 45647.2973138126 48237.8330905176 48734.4674966721
1 2869292 36453.0089527147 37835.2770993492 41099.1955001265
1 2869298 36453.0089527147 37676.6705075859 41099.1955001265
1 2884718 25404.1837734093 25931.8994830103 25694.7185109854
1 2884799 22541.8949041419 24333.1401162111 26108.0611127411
1 2888279 19487.8319679887 15715.4945707271 21670.2633933636
1 2891483 22404.9187936041 17303.4303469707 23326.3804890027
1 2892615 14274.6223518035 13943.4098475941 17330.3260926274
1 2892774 16178.3129871072 16187.0658595217 17876.3944570211
1 2892789 14571.3558707304 14345.7347393448 15825.9466032134
1 2892807 15245.9067186886 14816.8392647126 15825.9466032134
1 2903748 19041.4200817963 19255.9780247731 20815.277572521
1 2903753 26433.6211194134 25524.782787131 26522.5922860953
1 2913842 21521.2837200987 20681.0146128041 23266.2114074381
1 2917696 22215.6806096522 20179.3425636774 22313.0957801356
1 2917744 26456.1768425816 27379.219749027 27680.014353635
1 2917765 31543.4819563939 30274.5599294769 28098.9528402421
1 2930914 48535.135710787 47647.005910524 46089.7718982352
1 2930935 45123.7357573278 44396.3743674977 42889.5838136937
1 2944350 47675.4521789552 46425.7672226165 45704.9851831861
1 2944625 49468.212464517 47308.4848877577 46625.0614507162
1 2978626 58111.4398601517 57133.3469815503 55355.7429588062
1 2978866 40489.1490028677 41131.8068990813 40018.5694253536
1 2978907 40647.6536950104 39629.9112850063 39321.6695078725
1 2978928 40956.0460573262 38003.2636752631 39853.9157271199
1 2983715 45706.4252328707 45473.629699206 48685.2238770306
1 2983956 40222.242905907 36538.9086050897 37400.9327118832
1 2996996 56479.075045682 53609.4950030433 54695.9511084677
1 3025486 39841.9863907193 35549.3014428469 36711.7085984217
1 3025754 43244.7562159285 36101.973405684 39127.0091949153
1 3032867 30340.3171798039 20818.6352130888 23557.8967957259
1 3033300 27261.7826162381 19868.3751305851 24294.4493651751
1 3033355 29024.931577961 21617.0101865777 23265.923184024
1 3033371 27621.8831481164 21680.9195815992 23654.285586527
1 3033414 27830.0025964084 23424.8982073466 24437.3224151341
1 3039776 29969.424985447 21638.613349007 22732.9210190468
1 3039802 29325.0368237196 23276.6924373549 29802.2087020292
1 3051599 32262.5995743926 24103.4173948264 26311.3406206121
1 3057234 24684.5185601805 21100.1904823351 24355.3883453395
1 3057550 25023.6718341109 21551.1598977443 31375.8267289846
1 3057884 24992.2019561237 21371.6667487787 22736.2488136923
1 3057897 26237.3569144199 26375.3320119648 33733.07316458
1 3068070 26390.1279875077 23657.3350220136 26943.0877036164
1 3074866 24830.6463425932 24577.1024219573 27333.9891179828
1 3085744 28235.0951749074 24012.3404667773 27424.6917054768
1 3085997 18483.0160051325 18744.9591593065 25200.2079294615
1 3089591 15805.5496692487 15790.4704443201 19550.1972028743
1 3089612 14158.1243292247 14282.4085368535 18158.3119126119
1 3089649 14019.1258674169 14926.0793612034 18446.3172493359
1 3091893 14586.8078252508 13789.8723585355 16017.4372114908
1 3095245 20211.3196063393 20117.9986207661 21923.7171727087
1 3111742 21822.5709743705 21880.4282076252 23993.8001140054
1 3111760 12309.9810512812 11205.2153074242 12989.7476045946
1 3111814 20555.0309100701 19731.6057145152 21050.3898586248
1 3112231 18786.4982571512 18253.1091619633 18640.2899307418
1 3120922 25958.6844319633 25335.1835339724 27942.5099093155
1 3121216 22865.1318922934 22584.3566478694 20923.2690576502
1 3121272 40868.6659813965 40136.9337049207 37567.6625310139
1 3146986 34418.813506413 33426.5936339892 38176.4824066849
1 3159136 39932.5958636775 39864.9459473811 37159.010477065
1 3161192 30347.1243825694 29248.4207135274 31622.6897994565
1 3161243 30178.6465438355 28956.14263816 31485.4068674566
1 3161288 30023.9087427494 28342.8279873335 30994.5253744189
1 3176878 24705.0752215694 23462.6292338144 27446.2097744418
1 3176976 23228.7936401311 23055.58093689 28575.1492319043
1 3177035 19248.2680978154 17972.2847152036 25350.7352969603
1 3183845 17930.7457433479 16739.7228773112 21290.2601208387
1 3192114 15340.338476762 14447.9406325795 18495.9773859477
1 3192253 13285.2674652445 14273.1807686154 13142.9368347804
1 3192257 12354.9503341096 13693.4577560849 11959.7764707738
1 3194609 13896.6541719568 14619.8065577009 19646.1226189125
1 3194621 14061.480180067 14550.7827189015 19420.7970889753
1 3194977 23841.6816046359 21951.9630330263 27012.2445417004
1 3213006 21265.1718466074 21026.9265794037 21445.352592983
1 3217863 18386.6315901506 16318.0335968428 20553.43952219
1 3217870 19819.0995046305 16547.183121843 19904.5106554703
1 3217896 16152.710774593 14142.3141591588 18098.1400230341
1 3224627 15276.0799459449 12320.8649089282 17277.9264732575
1 3224667 24260.6301302915 16988.5040401751 22088.5363428881
1 3224668 24260.6301302915 16988.5040401751 22088.5363428881
1 3224895 23644.9679832245 16866.0156960426 24731.4244463506
1 3224939 28704.7118103059 21084.3673049478 31401.7843302387
1 3224991 40149.183597654 31802.507619252 39626.4109644189
1 3244609 69380.2461055094 51270.952589915 66680.6429361209
1 3244864 74652.3274579026 59099.2377724945 75044.8194197523
1 3244867 74652.3274579026 59099.2377724945 75044.8194197523
1 3261189 113282.623353899 78810.8374737687 95902.7390566459
1 3261342 112678.589656672 99014.4718432932 107400.485248154
1 3332778 114255.608327952 95362.833284645 103468.862367479
1 3338063 123642.943714377 101992.21785313 117284.603931274
1 3353667 105953.000188141 83473.3498284567 94889.8287217525
1 3359573 113743.096205992 90548.8480384521 99186.5666316856
1 3359574 113743.096205992 90548.8480384521 99186.5666316856
1 3365833 100548.544168852 79638.5913680624 92426.577058102
1 3366270 104058.794444716 78417.4801857689 96514.2311445469
1 3389311 108002.785922607 82900.6324882344 92940.7120905345
1 3402631 125746.623010779 100808.756880187 119192.121590895
1 3402633 125746.623010779 100808.756880187 119192.121590895
1 3402680 126965.499038304 100808.756880187 119426.679983012
1 3440887 143791.846746563 100637.553503138 122267.516272249
1 3440889 143791.846746563 100637.553503138 119798.833543184
1 3440937 119711.947130819 87048.2880911579 99833.2255659525
1 3499935 129111.996579806 100193.718926605 116560.204802504
1 3500076 105081.902642712 61729.1099735261 78793.2961867189
1 3500140 141525.387214671 103426.685498704 122270.95186521
1 3502868 120505.929935099 85950.3219986746 95422.4823950297
1 3502869 120505.929935099 85950.3219986746 95422.4823950297
1 3557631 133348.923723344 109266.094066977 116766.734073129
1 3557640 133640.669021829 109252.540279767 116766.734073129
1 3596127 107300.808630078 77924.4622232113 84241.8718530945
1 3596130 97970.2887251455 69065.2537038017 73071.4791974959
1 3596212 78344.7756039983 56855.4619992581 62010.0778820266
1 3596500 76693.5177021777 60376.5093787743 59903.4251134781
1 3605140 64789.9046616591 49973.0511025189 53097.3507546205
1 3605155 68267.1213374088 60840.3962609188 61097.0457822332
1 3605531 67994.2018495052 63494.4893337842 63198.8642139831
1 3636849 55091.1764827677 46104.1595375883 46293.3273113741
1 3636877 62106.7500173044 51631.5771843584 53584.4662019448
1 3646568 50336.0941805454 53151.9021672204 49803.2321653126
1 3670686 50218.4661311491 48976.4924315039 49554.9905480944
1 3670687 50218.4661311491 48976.4924315039 49554.9905480944
1 3670688 50218.4661311491 48976.4924315039 49554.9905480944
1 3670765 44675.7672915559 47495.2604432073 49353.8786540765
1 3670771 45921.2569722337 46927.3511638272 48447.3582815179
1 3707569 44529.8088307217 44700.1609049129 46399.5132261896
1 3717436 25197.139569161 25433.6628646335 29632.0137089053
1 3717472 18994.4455837381 20249.3247743548 20728.1305360323
1 3717785 21305.5287563911 21936.6287044129 24654.1532366656
